"gene","M_C1_IL1B_Mono","M_C10_MKI67_Macro","M_C11_MT1G_Macro","M_C12_HSPA1A_Macro","M_C13_MMP9_Macro","M_C14_CD1C_cDC","M_C15_LAMP3_cDC","M_C16_LILRA4_pDC","M_C17_S100A8_Neutro","M_C18_ISG15_Neutro","M_C19_AZU1_Neutro","M_C2_S100A8_Mono","M_C20_CXCL8_Neutro","M_C3_FCGR3A_Mono","M_C4_VCAN_Mono","M_C5_CCL3_C1QA_Macro","M_C6_SPP1_Macro","M_C7_TREM2_Macro","M_C8_BMP2K_Macro","M_C9_ISG15_Macro"
"FAM87B",0.0019,0.003,0.001,0.0023,0,0.0034,0.0017,0.0016,3e-04,2e-04,0.0021,5e-04,0,0.0018,3e-04,0.0036,0.0013,9e-04,0.0042,0.0032
"FAM41C",0.0119,0.0116,0.0202,0.0075,0.01,0.0133,0.0072,0.0125,0.0094,0.0095,0.0097,0.0029,0,0.0091,0.0085,0.0118,0.0161,0.0101,0.0068,0.0086
"SAMD11",0.0011,0.0033,5e-04,5e-04,0.0037,0.002,0.0011,0.0022,0.0016,0.0041,0.0015,0.0015,0.005,0.0024,0.0014,0.0017,0.0014,0.0018,8e-04,5e-04
"NOC2L",0.0868,0.141,0.0846,0.0899,0.1151,0.1225,0.1216,0.1479,0.0215,0.0316,0.1161,0.0254,0.0128,0.1241,0.077,0.1035,0.118,0.0816,0.0915,0.1078
"KLHL17",0.0106,0.011,0.0078,0.0058,0.0127,0.0093,0.0149,0.0086,0.0034,0.0051,0.0122,0.0029,0,0.012,0.008,0.0104,0.0103,0.0068,0.0083,0.0073
"PLEKHN1",0.0089,0.0021,0.0052,0.0044,0.0176,0.0032,0.0053,0.0029,0.0023,0.0046,0.0036,4e-04,0,0.0051,0.0101,0.0027,0.0062,0.0037,0.0041,0.0108
"HES4",0.1607,0.1479,0.2393,0.231,0.0875,0.2535,0.15,0.2159,0.1543,1.2859,0.1513,0.0151,0.1832,0.7692,0.0372,0.2149,0.156,0.078,0.0745,0.2739
"ISG15",0.5352,1.1368,1.2473,0.7351,0.504,0.6639,0.6582,0.7724,0.6424,4.052,0.4845,0.0627,0.1169,0.9664,0.2724,0.7632,1.0018,0.8291,0.3396,2.3267
"AGRN",0.0145,0.0333,0.0406,0.0157,0.0516,0.0329,0.0477,0.0155,0.0072,0.0482,0.0225,0.0027,0,0.0094,0.0068,0.0394,0.0562,0.0206,0.0184,0.0514
"RNF223",1e-04,2e-04,3e-04,0,0,3e-04,9e-04,0,4e-04,5e-04,5e-04,0,0,0,0,5e-04,3e-04,6e-04,4e-04,0
"C1orf159",0.0395,0.0345,0.0108,0.0206,0.0279,0.0297,0.0225,0.0433,0.0041,0.0111,0.0557,0.0061,0,0.057,0.0339,0.0285,0.0246,0.0181,0.063,0.0327
"TTLL10",0.001,0,0,0.0025,0.0023,9e-04,5e-04,6e-04,2e-04,0,0.002,3e-04,0,0.0013,3e-04,7e-04,8e-04,6e-04,0.001,3e-04
"TNFRSF18",0.0162,0.0306,0.0369,0.0197,0.0129,0.0399,0.1079,0.0296,0.0105,0.0121,0.0099,0.0047,0,0.0072,0.0089,0.0214,0.022,0.0119,0.0087,0.0355
"TNFRSF4",0.0193,0.038,0.0371,0.0256,0.0302,0.0464,0.1741,0.0599,0.013,0.0135,0.0155,0.0065,0.0128,0.0085,0.0119,0.0474,0.0347,0.0249,0.0164,0.1182
"SDF4",0.2336,0.41,0.3128,0.2564,0.4084,0.2821,0.3016,0.287,0.0758,0.1084,0.2852,0.0516,0.0253,0.1874,0.1894,0.3675,0.4425,0.2561,0.1807,0.4356
"B3GALT6",0.0404,0.0696,0.0521,0.0422,0.0692,0.066,0.052,0.0822,0.0088,0.013,0.0509,0.0046,0.0068,0.0346,0.0375,0.0696,0.0765,0.0446,0.0413,0.0699
"C1QTNF12",0.0025,0.002,7e-04,4e-04,0.0014,0.0033,0.0028,0.0037,0.003,0.0035,0.0023,0.0023,0.0043,0.0031,0.0026,0.0016,0.0013,0.0011,0.0033,0.0016
"UBE2J2",0.1603,0.2002,0.1316,0.1168,0.1614,0.1764,0.1578,0.1805,0.0657,0.0688,0.1705,0.0684,0.0445,0.1538,0.1481,0.149,0.1686,0.1186,0.1107,0.1714
"SCNN1D",0.0036,0.0033,0.002,0.0051,0.001,0.0028,9e-04,0.0017,8e-04,0.0027,0.0062,0.0013,0,0.0034,0.0055,0.0061,0.0038,0.0022,0.006,0.0025
"ACAP3",0.0714,0.0696,0.0405,0.0454,0.0341,0.0427,0.0283,0.0466,0.0198,0.0167,0.1054,0.0302,0.0276,0.0547,0.0735,0.0434,0.0443,0.0262,0.0382,0.0286
"PUSL1",0.0352,0.0654,0.0447,0.0301,0.0566,0.0575,0.0416,0.0373,0.0104,0.014,0.0438,0.0066,0.0046,0.0398,0.0365,0.0403,0.0492,0.0354,0.0201,0.0418
"INTS11",0.0928,0.1354,0.0695,0.0816,0.112,0.1088,0.09,0.1005,0.0271,0.0226,0.1233,0.0498,0.0143,0.1003,0.097,0.0894,0.098,0.0805,0.0776,0.0761
"CPTP",0.015,0.04,0.0253,0.0314,0.0564,0.0272,0.027,0.0284,0.0085,0.0105,0.0213,0.0066,0,0.0171,0.0189,0.034,0.0426,0.0286,0.0171,0.0385
"TAS1R3",6e-04,8e-04,0.001,0,0,7e-04,9e-04,0.0019,8e-04,5e-04,0.0012,4e-04,0,0.0013,0,5e-04,6e-04,8e-04,7e-04,0.001
"DVL1",0.0296,0.0268,0.0295,0.0263,0.1254,0.0295,0.018,0.0264,0.0099,0.0181,0.035,0.0079,0.007,0.0253,0.0277,0.0362,0.0411,0.0209,0.027,0.0216
"MXRA8",0.0078,0.0073,0.0094,0.0043,0.0287,0.0059,0.0059,0.0102,0.0148,0.0307,0.0072,0.0204,0.0047,0.0086,0.0079,0.0099,0.0093,0.0153,0.0118,0.0088
"AURKAIP1",0.481,0.7806,0.5936,0.4441,0.7673,0.5935,0.5421,0.5417,0.2702,0.3335,0.5631,0.122,0.1332,0.4527,0.418,0.53,0.6731,0.4974,0.267,0.6701
"CCNL2",0.1476,0.1376,0.1,0.1269,0.1807,0.1446,0.157,0.2031,0.0696,0.0708,0.179,0.1132,0.0233,0.1604,0.146,0.1511,0.1416,0.0959,0.178,0.1327
"MRPL20-AS1",0.0104,0.0147,0.0022,0.0068,0.0132,0.0116,0.0126,0.0315,0.003,0.0055,0.0059,0.0018,0,0.0185,0.0186,0.0117,0.0116,0.013,0.0158,0.0148
"MRPL20",0.4706,0.661,0.5448,0.3923,0.5719,0.5712,0.5261,0.6422,0.1508,0.1706,0.5397,0.1779,0.0634,0.4346,0.4617,0.5011,0.6265,0.494,0.3687,0.6445
"ANKRD65",0.0015,0.0081,0.0031,0.0057,0.0081,0.017,0.0278,0.0244,0.0021,0.001,0.0014,0,0,6e-04,0.0021,0.0057,0.0037,0.0068,0.0014,0.0061
"VWA1",0.0042,0.0146,0.0088,0.0125,0.1178,0.0262,0.0136,0.0055,0.0075,0.0058,0.0039,0.0074,0,0.0044,0.0082,0.0144,0.0092,0.011,0.0054,0.0064
"ATAD3C",0.0039,0.0078,0.0044,0.0052,0.0064,0.0069,0.0077,0.0038,0.0037,0.0019,0.0131,0.0032,0,0.0045,0.0024,0.0081,0.0077,0.0068,0.0046,0.0036
"ATAD3B",0.0374,0.0647,0.0287,0.0366,0.0378,0.0336,0.0271,0.0445,0.012,0.0115,0.0614,0.0138,0.0096,0.034,0.0293,0.0377,0.0407,0.0228,0.0337,0.0385
"ATAD3A",0.0337,0.1041,0.0387,0.0398,0.0485,0.0495,0.0342,0.0404,0.0078,0.0105,0.0661,0.0079,0.0051,0.0363,0.0267,0.0396,0.0516,0.0317,0.0292,0.043
"TMEM240",0.001,6e-04,0.001,0.0023,9e-04,9e-04,3e-04,6e-04,9e-04,5e-04,0.0023,8e-04,0.0043,5e-04,0.0018,8e-04,0.001,2e-04,0.0012,6e-04
"SSU72",0.4224,0.521,0.4392,0.3394,0.4865,0.5123,0.4657,0.4157,0.2875,0.3022,0.4616,0.2042,0.2446,0.4234,0.3507,0.44,0.523,0.4074,0.2744,0.47
"FNDC10",0.0161,0.0435,0.0296,0.016,0.0219,0.0203,0.0091,0.0028,0.0016,0.0042,0.0423,0.0039,0,0.0207,0.0165,0.0214,0.0343,0.0184,0.0111,0.0147
"MIB2",0.0513,0.0463,0.0486,0.0549,0.0561,0.0609,0.0611,0.1659,0.027,0.0262,0.0699,0.0239,0.0126,0.0573,0.0532,0.0644,0.0616,0.0363,0.0445,0.0418
"MMP23B",0.0032,0.0057,0.0075,0.0021,0.0159,0.0039,0.0051,0.1087,0.002,0.0011,0.0042,5e-04,0,0.003,0.0024,0.0046,0.0034,0.0044,0.0025,0.0034
"CDK11B",0.1698,0.1647,0.1265,0.1216,0.0685,0.1257,0.1185,0.2019,0.1272,0.1654,0.1976,0.1356,0.0971,0.1722,0.1434,0.1262,0.1176,0.0757,0.1628,0.1362
"SLC35E2B",0.0553,0.0299,0.0245,0.0328,0.0552,0.042,0.041,0.1407,0.0323,0.0244,0.0474,0.0272,0.019,0.0567,0.0457,0.0519,0.0405,0.0277,0.0657,0.047
"CDK11A",0.1415,0.1349,0.099,0.1079,0.0879,0.122,0.1269,0.2563,0.1092,0.1384,0.1382,0.0984,0.0142,0.1587,0.1311,0.1218,0.1103,0.0773,0.1744,0.1396
"SLC35E2A",0.024,0.0202,0.0051,0.012,0.0173,0.0172,0.0102,0.0871,0.0096,0.0136,0.0264,0.0155,0.009,0.0285,0.0338,0.0167,0.011,0.0105,0.0435,0.0113
"NADK",0.2644,0.1826,0.1826,0.1249,0.1317,0.1089,0.1313,0.4211,0.4136,0.7514,0.2533,0.5279,0.1972,0.3974,0.3028,0.1578,0.195,0.1251,0.1633,0.3097
"GNB1",0.9633,0.7623,0.448,0.4768,0.6878,0.6211,0.5748,0.9136,0.6188,0.6476,0.985,1.1335,0.5742,0.9765,0.8617,0.6224,0.6702,0.4463,0.874,0.6665
"CALML6",1e-04,0,1e-04,0,0,0,0,4e-04,1e-04,0,0,4e-04,0,0,0,1e-04,0,2e-04,1e-04,1e-04
"CFAP74",0.0012,5e-04,2e-04,0.0021,0,0.0012,2e-04,0.0012,4e-04,0,3e-04,0.0014,0,6e-04,0.0017,7e-04,2e-04,3e-04,0.0018,0.0011
"GABRD",7e-04,5e-04,5e-04,0.0011,6e-04,9e-04,6e-04,0.0022,3e-04,0.0012,2e-04,5e-04,0,0.0011,0.001,0.0015,0.0011,7e-04,6e-04,3e-04
"PRKCZ",0.0534,0.0233,0.0153,0.0156,0.0377,0.0273,0.0291,0.0283,0.0443,0.021,0.0477,0.0503,0.0382,0.0416,0.0411,0.0126,0.0109,0.0119,0.0321,0.0109
"PRKCZ-AS1",0.0011,5e-04,3e-04,0,0,9e-04,0,7e-04,0.0017,0,4e-04,8e-04,0,4e-04,5e-04,6e-04,5e-04,2e-04,1e-04,2e-04
"FAAP20",0.2591,0.3145,0.2312,0.2517,0.2716,0.3567,0.3235,0.3655,0.1067,0.0807,0.315,0.1329,0.074,0.2463,0.2621,0.2973,0.297,0.2625,0.1609,0.2908
"SKI",0.3453,0.2336,0.1811,0.1852,0.1105,0.1609,0.079,0.131,0.1827,0.1717,0.5179,0.3448,0.1431,0.185,0.2184,0.218,0.1817,0.1185,0.3279,0.1298
"MORN1",0.013,0.0107,0.0047,0.0035,0.0134,0.012,0.0099,0.0328,0.0037,0.0034,0.0168,0.0071,0.0087,0.0163,0.0152,0.0086,0.0065,0.0047,0.0207,0.0052
"RER1",0.3568,0.6438,0.4974,0.3725,0.5072,0.4767,0.4003,0.471,0.2104,0.2273,0.4155,0.0941,0.0976,0.3949,0.3557,0.4793,0.6228,0.4293,0.283,0.6195
"PEX10",0.033,0.0622,0.0538,0.0378,0.0576,0.0536,0.0467,0.0447,0.007,0.0076,0.0346,0.0091,0.0041,0.0346,0.029,0.0598,0.0656,0.0503,0.0397,0.0707
"PLCH2",0.0012,0.0013,0.0014,0,0,0.0011,0.004,0.0014,7e-04,7e-04,0.0019,0,0.0014,0.0015,3e-04,0.0011,8e-04,0.0013,6e-04,4e-04
"PANK4",0.0154,0.0226,0.0159,0.0243,0.0189,0.0173,0.0153,0.0156,0.0085,0.0082,0.0177,0.006,0.0094,0.0199,0.0196,0.0211,0.0228,0.0144,0.0164,0.0259
"HES5",3e-04,0.0023,8e-04,0.004,0,0.0017,0.0017,4e-04,5e-04,0.0016,4e-04,8e-04,0,8e-04,0,0.0013,0.001,0.001,0.0011,0.0011
"TNFRSF14-AS1",0.0142,0.0228,0.019,0.0146,0.015,0.0277,0.0165,0.0085,0.0175,0.0205,0.0154,0.0311,0.0198,0.021,0.0189,0.0265,0.0187,0.0141,0.0409,0.0165
"TNFRSF14",0.3136,0.272,0.3801,0.3149,0.474,0.3489,0.3689,0.2854,0.2176,0.3522,0.2107,0.0619,0.1806,0.5065,0.2557,0.4514,0.4846,0.2934,0.2706,0.5593
"PRXL2B",0.0109,0.0193,0.0065,0.0157,0.0933,0.0158,0.0106,0.0052,0.0149,0.0153,0.0044,0.0016,0.0276,0.0134,0.0147,0.0231,0.0315,0.0143,0.0206,0.0184
"MMEL1",0.0051,0.0042,0.0117,0.0077,0.0022,0.0037,5e-04,0.0023,0.0023,0.0019,0.0115,0.0036,0,0.0191,0.0065,0.0065,0.0071,0.0042,0.0029,0.0068
"TTC34",0.0034,0.0015,9e-04,0.0011,0.0018,0.002,8e-04,0.0026,5e-04,0.001,0.0036,5e-04,0,0.0032,0.0054,0.0023,0.002,0.0016,0.0087,0.0033
"PRDM16-DT",2e-04,5e-04,0,3e-04,0,5e-04,7e-04,0,4e-04,5e-04,0,0,0,0,3e-04,3e-04,2e-04,2e-04,3e-04,2e-04
"PRDM16",0.002,0.0055,0.0016,4e-04,8e-04,0.0046,0.0133,0.0021,9e-04,2e-04,0.0041,0.0017,0,0.0012,0.0011,0.0014,0.0014,0.0016,0.0043,0.0011
"ARHGEF16",6e-04,0.0021,0.0035,0.0025,0.0065,8e-04,4e-04,0.0016,0.0011,0,9e-04,5e-04,0,0.0011,0.0018,0.0018,0.0021,0.0014,0.0012,0.0014
"MEGF6",0.009,0.0196,0.0085,0.0134,0.0362,0.0083,0.0056,0.0033,0.0175,0.0059,0.0181,0.0162,0.0175,0.0047,0.0117,0.024,0.0181,0.0118,0.0247,0.0102
"TPRG1L",0.0461,0.0443,0.0597,0.037,0.0665,0.039,0.0348,0.0996,0.0656,0.0387,0.0637,0.0897,0.0243,0.0455,0.0466,0.0709,0.0835,0.0513,0.0384,0.0506
"WRAP73",0.0487,0.0699,0.0465,0.0358,0.0518,0.0586,0.0566,0.0653,0.0197,0.0243,0.0589,0.0665,0.0143,0.0564,0.0488,0.0591,0.0588,0.0457,0.0408,0.058
"TP73",9e-04,0.0089,0.0011,0.0012,0,9e-04,9e-04,0.0015,7e-04,5e-04,0.0014,0.0022,0,6e-04,0.0012,5e-04,0.0012,8e-04,0.0013,7e-04
"SMIM1",0.0133,0.0165,0.0216,0.0166,0.0167,0.0166,0.0139,0.0058,0.0086,0.0053,0.0314,0.0058,0.009,0.0066,0.0141,0.029,0.016,0.0246,0.0181,0.0269
"LRRC47",0.0611,0.0776,0.0479,0.0557,0.0913,0.0599,0.064,0.0813,0.0186,0.0229,0.0728,0.0188,0.0073,0.0633,0.0596,0.0712,0.0713,0.0483,0.0454,0.0706
"CEP104",0.0691,0.0607,0.044,0.0344,0.0678,0.0648,0.0598,0.1205,0.0168,0.0262,0.0714,0.0394,0.0203,0.0945,0.0697,0.0704,0.0651,0.048,0.0799,0.061
"DFFB",0.0199,0.017,0.0144,0.0177,0.0139,0.0179,0.0126,0.0076,0.0045,0.0043,0.0261,0.0052,0.0021,0.0227,0.0216,0.018,0.0136,0.0124,0.0288,0.0153
"C1orf174",0.0602,0.1245,0.0744,0.0772,0.0812,0.0986,0.0717,0.0639,0.0225,0.0345,0.0882,0.0133,0.0193,0.1044,0.0478,0.0868,0.099,0.0781,0.0526,0.1144
"AJAP1",5e-04,0,0,9e-04,0.0014,4e-04,5e-04,0.0684,0.0011,0.0014,5e-04,0.0015,0,3e-04,0,5e-04,7e-04,7e-04,1e-04,0
"NPHP4",0.0393,0.0388,0.0083,0.0188,0.0251,0.0347,0.0169,0.0502,0.0094,0.0047,0.0687,0.0384,0.0182,0.057,0.0361,0.025,0.0206,0.0168,0.0648,0.0167
"KCNAB2",0.3914,0.304,0.292,0.2027,0.2841,0.2465,0.1306,0.3253,0.1868,0.095,0.6074,0.3904,0.3068,0.5613,0.3897,0.2495,0.3838,0.1824,0.3226,0.2339
"CHD5",9e-04,7e-04,0,4e-04,0.0014,4e-04,7e-04,0.0012,0,5e-04,0.0017,2e-04,0,0.0036,9e-04,3e-04,3e-04,0,0.0015,3e-04
"RNF207",0.0017,0.0028,0.0056,0.0028,0.0182,0.0041,0.0147,0.0036,0.0015,0.0036,0.0012,0.0012,0,0.0157,0.0016,0.0026,0.0023,0.0014,0.0058,0.0026
"ICMT",0.0347,0.1416,0.0601,0.0416,0.095,0.0497,0.0394,0.0608,0.0085,0.0174,0.0637,0.008,0.0024,0.0401,0.0312,0.0694,0.0831,0.0513,0.0404,0.0638
"GPR153",0.0032,0.007,0.0108,0.0044,0.0102,0.0113,0.0444,0.0198,0.0022,0.0027,0.0086,0.0012,0,0.0146,0.0018,0.0068,0.0153,0.0044,0.0072,0.0061
"ACOT7",0.0277,0.2041,0.1334,0.0393,0.0819,0.1328,0.1222,0.1536,0.0092,0.0056,0.1594,0.0073,0.0014,0.0561,0.0254,0.0399,0.1268,0.0393,0.0493,0.0561
"HES2",0.0013,0.003,0.0048,0.0025,0.0145,0.001,5e-04,0.0019,0.0015,0.001,0.0014,8e-04,0,9e-04,0,0.0014,0.013,0.0045,0.0016,0.002
"ESPN",0.0019,0.0024,0.0018,0.0015,0.0052,0.0016,0.0024,7e-04,0.0013,4e-04,9e-04,0.0017,0,3e-04,6e-04,0.0034,0.0034,0.0027,9e-04,0.0045
"TNFRSF25",0.0085,0.0118,0.0133,0.0052,0.0118,0.0134,0.0358,0.0153,0.0067,0.0108,0.0115,0.0032,0.0046,0.0148,0.0097,0.0196,0.0083,0.008,0.0194,0.0115
"PLEKHG5",0.0014,0.0041,0.0023,0.0029,0.0012,8e-04,9e-04,0.0039,0.001,0.0018,0.0019,4e-04,0.0035,9e-04,0.0016,0.0257,0.0023,0.0033,0.0296,0.002
"NOL9",0.0604,0.0714,0.0364,0.0332,0.0763,0.0498,0.0432,0.0882,0.0122,0.0099,0.0896,0.035,0.0093,0.0666,0.0676,0.0536,0.0504,0.0321,0.0662,0.0473
"TAS1R1",0.0044,0,8e-04,3e-04,0.0102,0.0013,8e-04,0.0014,8e-04,0,0.0012,8e-04,0,0.0024,0.0029,0.0012,9e-04,5e-04,0.0147,3e-04
"ZBTB48",0.059,0.0696,0.0466,0.0558,0.0749,0.0738,0.0628,0.0416,0.0322,0.0219,0.0816,0.0362,0.0384,0.0689,0.0669,0.0612,0.0611,0.0463,0.0729,0.0518
"KLHL21",0.1078,0.065,0.1255,0.0881,0.1423,0.066,0.0612,0.069,0.081,0.0685,0.0851,0.0275,0.0747,0.0575,0.05,0.099,0.1046,0.0254,0.061,0.059
"PHF13",0.0186,0.0285,0.024,0.0179,0.0284,0.0172,0.0302,0.0215,0.0144,0.0085,0.0219,0.0176,0.0045,0.0128,0.0125,0.0243,0.0256,0.0143,0.021,0.0186
"THAP3",0.0317,0.053,0.0456,0.0355,0.0688,0.0397,0.0592,0.044,0.0099,0.0165,0.0348,0.0089,0.0065,0.035,0.0302,0.0401,0.0503,0.0378,0.0331,0.055
"DNAJC11",0.0661,0.0752,0.0378,0.0415,0.0848,0.0594,0.0446,0.078,0.0096,0.0137,0.0911,0.0252,0,0.0718,0.0711,0.0604,0.0618,0.0475,0.0988,0.0635
"CAMTA1-DT",0.0147,0.01,0.0012,0.0109,0.0083,0.0087,0.0055,0.0147,0.0013,0.0011,0.0118,0.002,0.011,0.018,0.0242,0.0089,0.0043,0.0061,0.0505,0.0048
"CAMTA1",0.4583,0.5974,0.4241,0.3925,0.4696,0.5538,0.4815,0.4623,0.1221,0.1309,0.5794,0.1854,0.1009,0.3459,0.4092,0.4474,0.4824,0.3698,0.5426,0.4675
"VAMP3",0.2926,0.3246,0.3025,0.2573,0.3614,0.2853,0.186,0.1246,0.1539,0.1507,0.2966,0.2761,0.094,0.2917,0.238,0.3312,0.3902,0.2853,0.1794,0.3573
"PER3",0.0344,0.0669,0.0448,0.0721,0.0649,0.051,0.0254,0.018,0.0064,0.0087,0.0486,0.0094,0.0235,0.07,0.0467,0.1383,0.0809,0.0597,0.292,0.0556
"UTS2",0.0245,0.0486,0.0183,0.0188,0.1227,0.0571,0.0302,0.0268,0.0188,0.0079,0.0107,0.0061,0.0197,0.0038,0.0186,0.0354,0.0437,0.0341,0.0247,0.032
"TNFRSF9",0.0255,0.0447,0.0222,0.0237,0.1152,0.042,0.1984,0.0068,0.0159,0.0094,0.0113,0.0062,0.0204,0.0106,0.0247,0.0287,0.0306,0.0133,0.0505,0.0502
"PARK7",0.6934,1.1382,0.7983,0.6799,0.9237,1.0468,1.1,1.5714,0.2224,0.2458,0.8043,0.1713,0.1277,0.693,0.6312,0.7832,0.9359,0.8142,0.5094,0.963
"ERRFI1",0.0861,0.0726,0.1577,0.1486,0.0716,0.0494,0.0728,0.0241,0.0302,0.0249,0.2764,0.0258,0.0267,0.0446,0.041,0.1458,0.1941,0.0482,0.3056,0.0835
"SLC45A1",0.0018,0.0012,0.0037,8e-04,0.0026,0.0016,0.0019,0.002,5e-04,3e-04,0.0058,8e-04,0,0.005,0.0022,0.0024,0.0027,0.0017,0.0052,9e-04
"RERE",0.5382,0.3432,0.1145,0.2244,0.5034,0.327,0.2263,0.842,0.19,0.2561,0.7352,0.9798,0.0875,0.6935,0.6489,0.37,0.2185,0.1996,1.1521,0.3038
"RERE-AS1",0.0071,0.0023,0.0016,0.0025,0.0034,0.0039,0.0023,0.0096,0.0025,0.0028,0.0028,2e-04,0.0043,0.0106,0.0072,0.0034,0.0013,0.0021,0.0143,0.005
"ENO1",1.1996,1.6945,1.3005,1.1809,1.6538,1.2766,1.4265,0.7101,0.4609,0.4463,1.4409,0.5034,0.5285,0.924,1.0664,0.9493,1.4621,1.0209,0.7392,1.3653
"ENO1-AS1",0.0068,0.0052,0.0068,0.0059,6e-04,0.0071,0.0056,0.0048,0.0015,0.0017,0.0096,0.0034,0.0025,0.0055,0.0076,0.0049,0.0046,0.0043,0.0104,0.0045
"CA6",8e-04,4e-04,2e-04,4e-04,6e-04,2e-04,0.0013,4e-04,2e-04,4e-04,0,0,0,3e-04,3e-04,1e-04,1e-04,0,0.0022,4e-04
"SLC2A7",4e-04,0,0,0,0,3e-04,0,2e-04,1e-04,0,3e-04,0,0,0,7e-04,1e-04,1e-04,1e-04,0.0019,0
"SLC2A5",0.015,0.0928,0.0978,0.0705,0.1429,0.0112,0.0281,0.0075,0.0042,0.0043,0.0373,0.0636,0.0031,0.004,0.0295,0.0668,0.1453,0.0487,0.0906,0.07
"GPR157",0.0312,0.0259,0.0291,0.0331,0.0326,0.1106,0.5808,0.055,0.0074,0.0087,0.0357,0.024,0,0.0296,0.0171,0.0264,0.0334,0.0102,0.0373,0.0338
"MIR34AHG",0.0076,0.0131,0.0087,0.0124,0.059,0.0074,0.0397,0.002,0.0015,0.0014,0.0091,0.0046,0,0.0087,0.0141,0.0372,0.0336,0.0194,0.1424,0.0284
"LNCTAM34A",0.0014,0.0016,0,6e-04,0.0103,0.0015,0.0024,0.0011,2e-04,3e-04,0.0011,2e-04,0,0.0022,0.0032,0.0053,0.0045,0.0031,0.0153,0.0047
"H6PD",0.0916,0.0601,0.0661,0.0326,0.0598,0.0494,0.1464,0.0677,0.0342,0.0332,0.097,0.1491,0.0153,0.0819,0.0965,0.086,0.0974,0.0478,0.0847,0.0737
"SPSB1",0.0693,0.0336,0.0486,0.0181,0.0346,0.0204,0.0337,0.0404,0.0065,0.0069,0.0625,0.0093,0.0121,0.0134,0.0355,0.0333,0.0471,0.0139,0.0363,0.0278
"SLC25A33",0.2234,0.2088,0.1628,0.2287,0.0989,0.2721,0.2566,0.1375,0.0279,0.0347,0.3125,0.0465,0.0863,0.2953,0.1456,0.2014,0.164,0.093,0.3054,0.1527
"TMEM201",0.0084,0.0276,0.0053,0.0154,0.0098,0.0145,0.0124,0.0264,0.0019,0.0015,0.019,0.0017,0,0.0118,0.0119,0.0191,0.0153,0.0091,0.0184,0.0141
"PIK3CD",0.3078,0.1898,0.0654,0.0988,0.0449,0.1308,0.0696,0.4267,0.24,0.1558,0.337,0.6976,0.1003,0.4042,0.4283,0.1186,0.081,0.0899,0.3117,0.1286
"PIK3CD-AS2",0.0224,0.0137,0.006,0.0045,0.0096,0.0107,0.0145,0.0401,0.0046,0.0023,0.0231,0.0157,0.0059,0.0402,0.0244,0.0067,0.0069,0.0065,0.0286,0.0096
"CLSTN1",0.1278,0.1517,0.0835,0.0932,0.0803,0.1241,0.1309,0.1698,0.0214,0.0306,0.1658,0.022,0.0289,0.1301,0.1154,0.1524,0.1427,0.0983,0.1967,0.1135
"CTNNBIP1",0.1678,0.2415,0.1466,0.1148,0.4559,0.2706,0.2039,0.1082,0.0455,0.0398,0.1881,0.0686,0.0187,0.0979,0.1941,0.1416,0.1608,0.1311,0.139,0.1421
"LZIC",0.1761,0.2329,0.1369,0.1528,0.1567,0.1629,0.13,0.2068,0.058,0.055,0.1907,0.0796,0.0489,0.1776,0.1893,0.1629,0.2002,0.1312,0.1647,0.1711
"NMNAT1",0.053,0.0426,0.0277,0.0266,0.0416,0.0296,0.0317,0.0344,0.0189,0.0207,0.0491,0.0362,0.0097,0.0484,0.069,0.0415,0.0432,0.0333,0.0612,0.0347
"RBP7",0.4443,0.0598,0.1624,0.1536,0.0356,0.0291,0.0256,0.0098,0.3717,0.1519,0.1857,0.1153,0.194,0.279,0.5002,0.158,0.1592,0.1083,0.088,0.0822
"UBE4B",0.2564,0.1481,0.0681,0.0822,0.1833,0.1005,0.0867,0.191,0.1104,0.0687,0.2453,0.4101,0.0908,0.2562,0.3359,0.1057,0.1098,0.0757,0.3246,0.0955
"KIF1B",0.5148,0.2797,0.1526,0.2111,0.4342,0.1993,0.1494,0.188,0.4082,0.2513,0.5052,1.6306,0.2353,0.4809,0.5245,0.435,0.3135,0.1561,0.9477,0.2481
"PGD",0.5895,0.4359,0.5459,0.2974,0.4414,0.2499,0.2511,0.37,0.4251,0.2289,0.7604,0.8696,0.3198,0.3256,0.6553,0.2976,0.5273,0.268,0.2275,0.4697
"CENPS",0.0057,0.0978,0.0051,0.0098,0.0089,0.0118,0.0153,0.0214,0.003,0.0026,0.028,0.002,0,0.0065,0.0085,0.0085,0.0118,0.0132,0.0122,0.0107
"CORT",6e-04,0.006,2e-04,5e-04,7e-04,5e-04,0.0013,0.0019,4e-04,0,0.0028,0,0,2e-04,5e-04,4e-04,9e-04,0.0012,0.0013,7e-04
"DFFA",0.0742,0.1216,0.056,0.0605,0.123,0.0831,0.0728,0.226,0.0161,0.0192,0.0835,0.0162,0.002,0.0701,0.0781,0.0919,0.1116,0.0724,0.0677,0.1052
"PEX14",0.1485,0.0928,0.0349,0.0497,0.0993,0.0621,0.051,0.1343,0.0142,0.0168,0.1859,0.0818,0.0158,0.1359,0.2071,0.0495,0.0786,0.0375,0.1956,0.0623
"CASZ1",0.0143,0.0134,0.0078,0.0085,0.0029,0.0142,0.0377,0.064,0.01,0.0108,0.0135,0.0288,0,0.0149,0.0128,0.0085,0.0135,0.0074,0.0124,0.016
