"gene","M_C1_IL1B_Mono","M_C10_MKI67_Macro","M_C11_MT1G_Macro","M_C12_HSPA1A_Macro","M_C13_MMP9_Macro","M_C14_CD1C_cDC","M_C15_LAMP3_cDC","M_C16_LILRA4_pDC","M_C17_S100A8_Neutro","M_C18_ISG15_Neutro","M_C19_AZU1_Neutro","M_C2_S100A8_Mono","M_C20_CXCL8_Neutro","M_C3_FCGR3A_Mono","M_C4_VCAN_Mono","M_C5_CCL3_C1QA_Macro","M_C6_SPP1_Macro","M_C7_TREM2_Macro","M_C8_BMP2K_Macro","M_C9_ISG15_Macro"
"AKAP5",0.003,0.0104,0.005,0.0036,0.0066,0.0052,0.0064,0.0093,0.0025,6e-04,0.0102,0.0034,0,0.004,0.0049,0.0038,0.0273,0.0053,0.005,0.0057
"ZBTB1",0.3895,0.2193,0.2618,0.2559,0.2454,0.3094,0.2209,0.4245,0.1429,0.1228,0.3961,0.2558,0.181,0.386,0.2797,0.3323,0.291,0.129,0.4499,0.2416
"HSPA2",0.0388,0.0631,0.0762,0.1803,0.0332,0.0722,0.0646,0.0252,0.0105,0.0111,0.0831,0.0045,0.0149,0.0224,0.0191,0.1159,0.067,0.0453,0.1025,0.0548
"PPP1R36",0.0115,0.0112,0.0071,0.009,0.0087,0.0044,0.0022,0.0077,0.0012,0.0016,0.0156,0.0017,0,0.0092,0.0144,0.0095,0.0072,0.0034,0.1216,0.0036
"PLEKHG3",0.0265,0.0168,0.0155,0.0163,0.05,0.0081,0.0069,0.0028,0.0664,0.0377,0.023,0.0712,0.0447,0.0215,0.0334,0.015,0.0141,0.0085,0.0218,0.0183
"SPTB",0.0016,0.0026,0,0,0,3e-04,4e-04,8e-04,0.0015,0.002,0.0029,3e-04,0,7e-04,0.0012,3e-04,3e-04,8e-04,0.0027,0
"CHURC1",0.4809,0.5418,0.488,0.4175,0.5261,0.543,0.4665,0.5336,0.3593,0.4487,0.5,0.1384,0.2209,0.5755,0.5183,0.4711,0.5469,0.4288,0.3954,0.5363
"GPX2",0.0076,0.017,0.0155,0.0135,0.0213,0.0052,0.0109,0.006,0.0059,0.007,0.0024,0.0019,0,0.0049,9e-04,0.0164,0.0167,0.0094,0.0044,0.0101
"RAB15",0.0053,0.0076,0.0023,0.0016,0.0086,0.0029,0.0204,0.0376,0.0018,0.0012,0.0069,0.0026,0.0026,0.0039,0.0073,0.0023,0.0022,0.0022,0.011,0.002
"FNTB",0.0668,0.0619,0.01,0.0285,0.0425,0.0308,0.0178,0.0586,0.0116,0.0115,0.0589,0.0131,0.0019,0.0628,0.1072,0.0404,0.0312,0.0284,0.1172,0.0412
"MAX",0.3524,0.3389,0.224,0.2974,0.2966,0.3388,0.2539,0.363,0.2423,0.2792,0.4059,0.5366,0.094,0.3522,0.4011,0.401,0.3096,0.3029,0.5464,0.4814
"FUT8",0.095,0.1154,0.0435,0.0496,0.1055,0.1003,0.1324,0.1858,0.0125,0.0242,0.149,0.0295,0.0074,0.1193,0.1171,0.0813,0.0593,0.0525,0.3191,0.0961
"FUT8-AS1",0.0013,0.0015,0.0013,0.0016,0,0.0025,0.003,0.0048,6e-04,8e-04,0.002,0,0,6e-04,9e-04,0.0022,0.0023,0.0018,0.004,0.0043
"CCDC196",6e-04,3e-04,0,4e-04,0.0013,8e-04,8e-04,0.0019,2e-04,0,0.0016,0,0,0.0011,0.0015,6e-04,3e-04,7e-04,0.0043,0
"GPHN",0.1834,0.0961,0.0326,0.0626,0.1854,0.0792,0.0758,0.2354,0.0124,0.0194,0.3735,0.1655,0.0296,0.2436,0.2116,0.0794,0.0628,0.0456,0.3893,0.0591
"FAM71D",0.0038,0.0086,0.005,0.0052,0.0021,0.0039,0.0031,0.0045,0.0026,0.0027,0.0029,0.0022,0,0.0046,0.0026,0.0064,0.0057,0.0023,0.0025,0.006
"MPP5",0.0849,0.0669,0.0451,0.0591,0.1414,0.0462,0.0507,0.1015,0.019,0.0142,0.0958,0.0723,0.0353,0.0852,0.0945,0.094,0.0714,0.0376,0.2118,0.0597
"ATP6V1D",0.2884,0.3304,0.2895,0.2312,0.5604,0.2523,0.2677,0.3265,0.2002,0.1579,0.2833,0.2806,0.479,0.306,0.3066,0.2874,0.4434,0.2364,0.313,0.3347
"EIF2S1",0.1688,0.3307,0.1915,0.1572,0.2793,0.2167,0.2285,0.2197,0.0378,0.0506,0.2248,0.0525,0.0427,0.179,0.1407,0.193,0.2371,0.1666,0.1451,0.2855
"PLEK2",0.0111,0.1809,0.0296,0.0533,0.0541,0.2935,0.0362,0.005,0.0054,0.0046,0.0105,1e-04,0,0.0024,0.0201,0.0742,0.0541,0.0824,0.0827,0.0545
"TMEM229B",0.02,0.0236,0.01,0.0071,0.0056,0.0242,0.0288,0.0242,0.0038,0.0176,0.018,0.0033,0,0.0453,0.025,0.0223,0.0138,0.0195,0.0401,0.0535
"PLEKHH1",0.0029,0.0096,0.0057,0.0061,0.0052,0.0086,0.0076,0.0035,0.0017,0.0018,0.0024,0,0,0.0022,0.0032,0.0127,0.0041,0.0078,0.0261,0.0124
"PIGH",0.0477,0.0795,0.0612,0.0548,0.0681,0.0559,0.0406,0.0803,0.0163,0.0193,0.0559,0.0228,0.0178,0.0729,0.0507,0.0786,0.0878,0.0588,0.0662,0.0914
"ARG2",0.0465,0.0741,0.0289,0.0961,0.0337,0.0446,0.0361,0.0359,0.0094,0.0069,0.0535,0.0082,0.005,0.0518,0.0421,0.0648,0.0385,0.0257,0.1672,0.0243
"VTI1B",0.289,0.3837,0.3648,0.2525,0.3521,0.3157,0.2684,0.2697,0.0859,0.1046,0.3023,0.0869,0.0557,0.3272,0.2844,0.3574,0.468,0.3082,0.2542,0.4078
"RDH11",0.1305,0.1977,0.1373,0.1404,0.1505,0.1173,0.069,0.1533,0.0268,0.0379,0.0967,0.0176,0.0211,0.1275,0.1191,0.1909,0.2237,0.1279,0.167,0.1841
"ZFYVE26",0.0823,0.0667,0.0527,0.0453,0.1098,0.0446,0.0433,0.1944,0.0173,0.0418,0.0951,0.0434,0.0512,0.0719,0.1044,0.0722,0.093,0.0392,0.1519,0.0856
"RAD51B",0.4266,0.2058,0.0448,0.0945,0.147,0.1466,0.1128,0.3302,0.0538,0.0578,0.6473,0.7109,0.1433,0.6084,0.5704,0.1523,0.1059,0.1114,0.9561,0.1491
"ZFP36L1",1.2622,1.1935,0.9066,1.5785,0.9251,1.3207,1.2828,0.4133,1.1622,1.247,0.4314,0.139,1.3455,1.2471,0.9222,1.8071,1.284,1.0613,2.1621,1.3658
