"Tissue","CellMajor","CellMin1","n","pct"
"PT","Endothelial cells","EC_C5_ROBO2",552,2.582
"PT","Endothelial cells","EC_C6_ACKR1",2166,10.13
"PT","Endothelial cells","EC_C7_IL6",2359,11.033
"PT","Endothelial cells","EC_C8_IL32",807,3.774
"PT","Endothelial cells","EC_C9_CXCR4",1193,5.58
"PT","Epithelial cells","Epithelial",59609,100
"PT","Mast cells","Mast",12343,100
"PT","Mesenchymal cells","F_C1_MMP11",5046,23.454
"PT","Mesenchymal cells","F_C2_MIF",3457,16.069
"PT","Mesenchymal cells","F_C3_CXCL12",189,0.878
"PT","Mesenchymal cells","F_C4_IGF1",3943,18.328
"PT","Mesenchymal cells","F_C5_SPP1",15,0.07
"PT","Mesenchymal cells","F_C6_COL2A1",73,0.339
"PT","Mesenchymal cells","F_C7_MKI67",178,0.827
"PT","Mesenchymal cells","F_C8_PLA2G2A",585,2.719
"PT","Mesenchymal cells","Per_C1_RGS5",4540,21.103
"PT","Mesenchymal cells","Per_C2_MYH11",3488,16.213
"PT","Myeloid cells","M_C10_MKI67_Macro",1509,2.831
"PT","Myeloid cells","M_C11_MT1G_Macro",1397,2.621
"PT","Myeloid cells","M_C12_HSPA1A_Macro",1017,1.908
"PT","Myeloid cells","M_C13_MMP9_Macro",184,0.345
"PT","Myeloid cells","M_C14_CD1C_cDC",4283,8.036
"PT","Myeloid cells","M_C15_LAMP3_cDC",1549,2.906
"PT","Myeloid cells","M_C16_LILRA4_pDC",1091,2.047
"PT","Myeloid cells","M_C17_S100A8_Neutro",6254,11.735
"PT","Myeloid cells","M_C18_ISG15_Neutro",474,0.889
"PT","Myeloid cells","M_C19_AZU1_Neutro",1120,2.102
"PT","Myeloid cells","M_C1_IL1B_Mono",5471,10.266
"PT","Myeloid cells","M_C20_CXCL8_Neutro",562,1.055
"PT","Myeloid cells","M_C2_S100A8_Mono",175,0.328
"PT","Myeloid cells","M_C3_FCGR3A_Mono",1285,2.411
"PT","Myeloid cells","M_C4_VCAN_Mono",160,0.3
"PT","Myeloid cells","M_C5_CCL3_C1QA_Macro",11099,20.826
"PT","Myeloid cells","M_C6_SPP1_Macro",9422,17.679
"PT","Myeloid cells","M_C7_TREM2_Macro",4165,7.815
"PT","Myeloid cells","M_C8_BMP2K_Macro",458,0.859
"PT","Myeloid cells","M_C9_ISG15_Macro",1620,3.04
"PT","Plasma cells","PC_C1_TXNDC5",7093,35.391
"PT","Plasma cells","PC_C2_GMDS",196,0.978
"PT","Plasma cells","PC_C3_IGHGP",1733,8.647
