"gene","B_C1_CRIP1","B_C10_LOMO2","B_C11_MZB1_PC","B_C2_IGHM_Bn","B_C3_HSPA1A","B_C4_FCRL1","B_C5_IFIT3","B_C6_ZZF331","B_C7_MKI67","B_C8_BACH2","B_C9_IGLL5"
"MAN2A1",12.96,20.09,56.8,10.28,13.04,41.03,17.87,10.48,47.56,34.45,5.36
"TMEM232",0.13,0.44,1.56,0.13,0.15,1.54,0.14,0.14,1.67,1.24,0
"SLC25A46",7.05,22.94,26.09,6.07,6.62,12.15,11.71,7.78,27.63,18.7,3.04
"TSLP",0.04,0.33,0,0.06,0.07,0.01,0.05,0.05,0.08,0,0.36
"WDR36",7.87,14.49,20.97,7.28,7.32,11.64,10.83,7.1,26.94,11.09,3.57
"CAMK4",3.17,8.45,3.08,0.74,2.55,4.49,4.05,2.8,20.09,16.37,0.71
"STARD4",3.29,3.84,4.67,3.6,4.14,4.75,6.37,2.66,10.05,1.78,1.97
"STARD4-AS1",0.11,0.55,25.08,0.38,0.18,2.99,0.17,0.05,19.48,27.31,0.36
"NREP",0.3,1.1,40.7,0.96,0.34,3.95,0.38,0.92,40.11,35.92,0.63
"NREP-AS1",0,0,0.16,0,0,0.07,0,0,0.08,0,0
"EPB41L4A",1.29,0.77,1.2,0.55,0.88,5.11,2.28,0.72,1.37,0.7,0.54
"EPB41L4A-AS1",24.25,26.02,39.37,26.44,25.83,25.43,22.61,13.77,35.46,26.38,29.04
"EPB41L4A-DT",0.04,0,0,0.06,0.03,0.04,0.05,0,0,0,0
"APC",8.25,13.83,29.81,8.89,8.18,23.56,9.15,6.04,33.71,27.15,3.84
"SRP19",18.64,36.22,39.63,18.64,13.91,22.84,15.62,15.6,56.7,29.09,18.68
"REEP5",31.59,60.37,48.09,28.54,29.51,26.13,48.84,27.25,57.91,25.91,25.38
"DCP2",16.59,35.13,58.43,15.77,15.3,23.08,22.44,11.64,65.14,29.17,7.95
"MCC",0.38,0.44,2.4,0.29,0.3,1.61,0.12,0.48,2.13,1.78,0.8
"YTHDC2",14.58,28.32,26.54,15.06,14.23,26.61,16.1,11.55,37.21,16.29,7.06
"KCNN2",0.01,0,0.03,0,0.02,0.06,0,0.05,0.08,0,0
"TRIM36",0.26,0.77,0.78,0.3,0.3,0.61,0.34,0.19,1.6,2.95,0.09
"PGGT1B",9.45,17.01,26.51,10.64,8.87,16.65,12.24,7.39,29.07,30.18,3.93
"CCDC112",4.07,1.76,11.28,4.41,3.79,8.93,4.14,2.66,15.98,53.37,3.13
"FEM1C",5.73,5.82,20.74,4.08,6.64,9.23,6.23,4.88,18.11,8.3,2.23
"TICAM2",1.56,1.76,0.26,0.9,1.51,1.54,2.23,0.82,3.73,0.39,0
"TMED7",9.9,12.73,12.09,9.45,8.09,8.24,7.54,8.79,18.65,5.97,6.34
"CDO1",0.05,0.55,0.23,0.01,0.05,0.03,0.02,0.1,0.23,0.16,0.18
"ATG12",26.43,41.38,42.32,25.29,26.6,24.47,32.48,20.53,51.6,29.71,21.54
"AP3S1",21.14,40.29,49.81,16.54,20.21,19.13,25.13,16.81,55.18,17.07,24.04
"LVRN",0,0.11,0.1,0.02,0.03,0.03,0,0,0.23,0,0
"ARL14EPL",0.4,0.44,0.23,0.06,0.5,0.34,0.57,0.1,0.53,0,0.09
"COMMD10",9.69,27.55,48.41,9,11.2,43.92,15.14,9.81,44.9,32.35,5.27
"SEMA6A",0.36,0.77,36.84,0.33,0.36,4.57,0.31,0.43,12.25,3.65,0.18
"SEMA6A-AS1",0.36,0.44,22.07,0.42,0.47,7.51,0.69,0.19,8.52,4.89,0
"SEMA6A-AS2",0.01,0.11,1.1,0.01,0.02,0.04,0.02,0,0.68,0.23,0
"DTWD2",1.67,0.66,2.66,2.95,1.91,8.37,1.7,1.4,4.19,3.34,0.8
"DMXL1",16.19,37.1,50.68,19.01,17.93,52.53,23.59,15.02,50.53,36.85,9.2
"TNFAIP8",37.09,48.74,22.07,38.43,38.65,65.54,52.02,24.69,56.09,46.94,30.83
"HSD17B4",6.51,8.56,20.97,10.05,7,19.1,7.93,5.85,27.85,12.26,4.56
"PRR16",0.07,0,1.23,0.11,0.17,1.1,0.1,0.19,0.15,0.31,0
"SRFBP1",11.85,12.84,22.91,11.63,11.28,15.45,14.13,9.23,24.81,16.6,6.17
"LOX",0.04,0,0.52,0.05,0.03,0.23,0,0.14,0.38,0.23,0
"ZNF474",0,0,0.03,0.01,0.01,0,0,0,0.08,0,0
"SNCAIP",0,0,0.49,0.01,0.01,0.08,0,0.05,0.23,0,0
"SNX2",49.21,59.82,93.52,55.28,45.24,67.15,56.48,46.81,76.64,66.33,35.57
"SNX24",0.63,0.44,7.91,0.4,0.53,4.17,0.81,0.34,10.58,13.11,0.27
"PPIC",0.22,0.11,0.55,0.23,0.19,0.23,0.05,0.34,0.15,0.47,0.98
"PRDM6",0.01,0,0.1,0.01,0,0.04,0,0,0.15,0.23,0
"CEP120",7.05,6.48,27.41,7.54,7.2,21.69,6.73,6.81,23.59,12.02,2.59
"CSNK1G3",16.11,13.61,38.76,16.13,14.28,42.74,17.01,10.58,31.96,35.61,9.03
"ZNF608",1.93,32.38,36.26,3.46,2.4,9.91,5.72,1.59,35.46,28.55,0.89
"GRAMD2B",0.65,3.73,2.3,0.5,0.61,1.61,0.86,0.77,5.71,1.32,0
"ALDH7A1",0.6,2.31,4.7,0.46,0.49,1.06,0.5,0.39,17.43,0.78,0.8
"PHAX",15.05,24.15,21.71,13.05,10.53,10.64,14.68,9.9,34.63,11.02,12.15
"LMNB1-DT",0.01,0.11,1.52,0,0,0.45,0,0.05,3.88,0.47,0
"LMNB1",6.37,21.84,19.96,4.71,6.14,7.07,16.36,6.86,80.14,9.15,1.88
"MARCH3",7.22,11.53,63.93,12.52,8.76,36.77,16.34,9.9,41.1,44.07,5.72
"C5orf63",2.74,4.5,1.69,2.49,2.78,4.75,3.71,2.22,5.78,4.5,2.5
"MEGF10",0.01,0.11,0.52,0.01,0,0.17,0,0,0.08,0.31,0
"PRRC1",4.75,7.24,19.67,4.13,3.53,6.76,6.61,4.44,15.68,6.9,2.32
"CCDC192",0.02,0,2.04,0.01,0,0.61,0,0,0.84,0.39,0
"SLC12A2",4.99,13.61,45.69,6.79,6.74,19.98,6.47,4.3,38.28,20.48,3.22
"FBN2",0,0,0.52,0.02,0,0.25,0,0,1.07,0.31,0
"SLC27A6",0,0,0.32,0,0,0.17,0,0,0.61,0.16,0
"ISOC1",4.56,4.72,5.09,4.44,4.9,3.55,6.44,4.69,13.7,2.09,3.75
"ADAMTS19",0,0,0.19,0,0,0.18,0,0,0.3,0,0
"MINAR2",0.01,0,0,0.01,0,0.01,0,0,0,0,0
"CHSY3",0.01,0.22,1.23,0,0,0.44,0,0,0.68,0.62,0
"HINT1",76.46,85.73,86.52,75.43,71.14,73.81,76.05,63.09,93.3,68.11,83.29
"LYRM7",6.69,8.34,7.62,7.26,6.02,8.2,6.51,4.44,18.95,6.05,6.61
"CDC42SE2",42.91,42.59,90.6,39.65,38.44,82.84,41.39,27.49,75.72,65.4,38.87
"RAPGEF6",12.33,26.67,11.21,17.16,12.52,31.28,15.21,15.56,35.92,22.27,4.38
"FNIP1",17.16,30.41,36.62,20.63,20.57,33.93,20.19,12.8,50,36.62,5.99
"MEIKIN",0.1,0.33,0.03,0.03,0.12,0.47,0.22,0.1,0.38,0.39,0
"ACSL6",0.13,0.11,0.23,0.09,0.06,0.18,0.07,0.1,0.3,0.62,0.45
"CSF2",0.04,0.11,0,0.03,0.06,0.03,0,0.14,0.08,0,0.09
"P4HA2-AS1",0.01,0,5.96,0,0,0.1,0,0,2.36,11.33,0
"P4HA2",0.16,0.99,28.06,0.16,0.26,0.78,0.31,0.14,15.53,32.74,0.36
"PDLIM4",0.17,0.22,0.23,0.16,0.13,0.11,0.12,0.1,0.38,0.16,1.43
"SLC22A4",0.02,0.11,3.56,0.03,0.03,0.89,0.02,0,3.2,0.39,0.09
"MIR3936HG",1.54,2.09,0.13,1.18,0.94,3.25,0.89,0.77,1.07,0.39,0.09
"SLC22A5",1.43,1.43,3.56,1.2,1.48,1.57,2.13,1.4,2.89,0.7,0.36
"C5orf56",10.76,7.79,5.9,9.19,10.86,14.77,27.93,9.13,18.11,5.35,5.09
"IRF1",45.55,52.91,64.45,50.91,54.5,39.95,60.74,43.19,64.99,40.5,32.53
"IL5",0.02,0,5.09,0.01,0,0.11,0,0,0.99,0.23,0
"RAD50",13.06,22.39,4.67,11.29,11.98,12.59,17.01,9.52,24.35,9.15,5.9
"TH2LCRR",0.01,0.11,4.93,0.02,0,2.34,0,0,2.97,1.63,0
"IL4",0.01,0.33,0.03,0,0,0.04,0,0,0.08,0,0
"KIF3A",5.38,14.27,9.11,3.32,3.97,6.14,4.57,3.62,13.17,7.21,2.14
"CCNI2",0.38,1.21,0.1,0.11,0.4,0.17,0.36,0.24,1.37,0,0.18
"SEPTIN8",0.23,0.55,0,0.1,0.23,0.43,0.29,0.39,1.6,0.23,0
"SOWAHA",0,0,0,0,0.03,0,0,0,0,0,0
"SHROOM1",0.63,0.33,0.23,0.45,0.65,0.61,0.74,0.1,0.91,0.08,0.27
"GDF9",0.03,0,0.32,0.01,0.04,0.26,0.07,0,0.91,0.39,0
"UQCRQ",27.72,58.18,44.75,23.09,24.39,20.82,38.01,19.81,77.17,23.12,36.1
"LEAP2",1.49,2.63,7.1,1.83,1.4,2.68,1.22,0,5.1,3.1,1.25
"AFF4",26.56,47.86,84.48,31.61,33.34,54.86,36.48,31.3,64.76,65.09,12.69
"ZCCHC10",17.95,33.7,55.93,19.9,16.56,31.03,18.18,11.79,54.79,54,16.09
"HSPA4",27,53.02,55.64,27.73,28.28,33.48,33.39,26.18,59.44,39.72,16.62
"FSTL4",0.03,0.55,1.88,0.07,0.1,1.68,0.07,0.24,2.36,1.16,0
"C5orf15",9.09,23.27,21.42,10.14,8.4,12.74,16.46,8.36,23.9,12.57,10.63
"VDAC1",24.84,53.46,76.12,21.55,20.56,21.05,33.92,18.84,81.51,58.96,27.08
"TCF7",9.97,3.95,13.74,4.63,8.87,10.73,4.19,1.74,16.51,7.29,4.47
"SKP1",65.8,84.63,83.15,63.29,68.57,59.75,71.71,61.64,90.41,60.51,62.73
"PPP2CA",25.26,63.67,42.32,26.21,27.21,25.99,32.41,32.37,69.79,29.17,22.52
"CDKL3",0.71,2.74,12.02,0.69,0.79,5.27,0.98,0.53,10.2,6.9,1.88
"UBE2B",49.4,69.59,84.32,54.71,54.18,41.72,57.65,50.29,79.53,50.81,35.21
"CDKN2AIPNL",6.67,13.83,10.27,5.76,6.36,6.08,8.72,4.2,25.27,6.36,4.65
"JADE2",11.33,11.09,32.15,10.85,10.57,14.35,12.26,6.52,25.11,9.93,7.15
"SAR1B",11.18,19.54,19.09,11.3,11.59,11.88,14.87,9.9,35.01,11.48,6.08
"SEC24A",3.09,5.82,12.54,2.88,3.77,7.09,4.57,4.3,13.24,7.37,1.88
"CAMLG",23.66,35.02,36.33,20.81,21.89,24.89,25.25,17.1,53.73,28.86,21.72
"DDX46",31.35,43.69,59.17,30.56,26.89,38.2,32.14,23.38,79.45,44.14,27.17
"C5orf24",10.06,18.33,20.8,10.55,7.78,9.38,12.46,7.78,27.25,13.81,9.29
"TXNDC15",8.1,18.88,17.34,7.73,7.26,9.84,11.83,7.58,24.89,11.56,6.61
"PCBD2",2.36,6.04,31.21,1.98,1.89,10.03,3.43,1.3,35.77,18.85,1.43
"CATSPER3",0.04,0,0.03,0.04,0.03,0.03,0.05,0,0.23,0,0.09
"PITX1",0.23,0.99,0.16,0.17,0.23,0.07,0.12,0.1,0.15,0.08,2.5
"C5orf66",0.07,0.55,8.23,0.18,0.07,1.11,0.14,0,8.3,1.24,0
"H2AFY",15.47,49.95,81.89,14.76,12.44,17.05,21.15,13.72,91.48,33.67,14.48
"DCANP1",0,0,0,0,0,0,0,0,0,0,0
"TIFAB",0.05,0,0.39,0.01,0.03,0.01,0,0,0.84,0,0
"CXCL14",0.73,1.54,0.97,0.82,0.68,0.55,0.5,0.72,0.99,1.01,5.99
"SLC25A48",0.01,0,0.06,0,0.01,0.03,0,0,0.08,0.08,0
"TGFBI",0.41,0.66,0.68,0.28,0.19,1.27,0.17,0.14,2.21,0.85,0.45
"SMAD5-AS1",0.05,0.33,0.65,0.07,0.03,0.14,0.02,0,0.38,0.39,0
"SMAD5",6.72,13.72,24.82,6.39,5.96,9.98,6.23,5.02,26.71,20.17,3.57
"SMIM32",0,0,0,0.01,0,0,0,0,0,0,0
"TRPC7",0,0,0.06,0,0,0.06,0,0,0,0,0
"TRPC7-AS1",0,0,0.03,0,0,0.03,0,0,0.08,0,0
"SPOCK1",0,0,0.81,0.01,0.01,0.32,0,0,1.14,0.54,0.09
"KLHL3",0.38,2.52,3.47,0.47,0.34,1.78,0.65,0.24,3.65,0.54,0.09
"HNRNPA0",45.55,51.92,70.71,46.25,52.91,32.6,49.72,45.07,81.58,43.75,49.69
"MYOT",0.04,0.11,0.71,0.05,0.08,1.76,0.1,0,0.68,0.39,0
"PKD2L2",0.94,1.76,19.15,0.84,1.23,12.69,2.13,0.24,15.83,11.17,0.27
"FAM13B",18.71,41.49,72.75,18.82,20.13,44.06,26.23,19.66,66.74,50.27,8.67
"NME5",0.05,0,0.36,0.02,0.01,0.08,0.02,0,0.08,0.08,0
"BRD8",6.56,8.34,20.93,6.74,5.83,7.43,6.66,5.75,32.34,10.86,2.77
"KIF20A",0.01,0.11,0.1,0.04,0.03,0.07,0.02,0,11.34,0,0.09
"CDC23",3.71,6.48,4.5,3.32,3.19,3.05,4.62,3.14,20.02,2.72,2.77
"CDC25C",0.07,0.22,0.62,0.03,0.12,0.32,0.22,0.05,22.07,0.31,0
"FAM53C",12.47,25.36,19.18,14.71,27.37,11.74,23.02,13.43,31.96,8.84,9.12
"KDM3B",7.56,12.29,49.81,7.01,7.57,29.54,8.22,5.02,43.15,44.07,3.49
"REEP2",0.02,0.22,0.03,0.03,0.08,0.15,0.14,0,0.91,0.08,0.09
"EGR1",13.6,12.51,6.64,13.8,50.82,14.93,30.85,14.35,13.47,6.67,18.05
"ETF1",19.33,34.36,44.78,19.52,23.95,23.86,25.13,21.74,54.11,24.59,15.64
"HSPA9",34.04,46.54,42.38,34.95,41.94,33.98,40.43,36.33,60.81,22.81,21.09
"CTNNA1",6.78,8.67,34.15,6.39,7.63,16.24,10.99,7.15,26.86,19.08,4.11
"LRRTM2",0.15,0,0.62,0.14,0.11,0.29,0.12,0,0.23,0.23,0.09
"SIL1",3.65,8.45,18.37,3.61,3.28,15.37,5.01,2.56,20.93,14.9,2.23
"MATR3",1.54,7.57,1.65,1.19,1.55,0.81,1.44,0.29,4.41,0.39,23.59
"SNHG4",0.62,1.98,0.39,0.7,0.62,0.92,0.74,0.29,2.36,0.23,0
"PAIP2",36.51,67.51,89.89,41.6,34.15,43.51,40.34,31.84,85.08,66.41,39.41
"SLC23A1",0.05,0.33,14.42,0.13,0.08,1.42,0.02,0.05,5.18,9.08,0
"MZB1",6.93,42.48,86.81,11.8,8.42,18.65,11.54,19.37,72.6,71.84,9.2
"PROB1",0.09,0.88,1.91,0.12,0.12,0.28,0.19,0.05,2.59,0.31,0
"SPATA24",0.68,2.85,2.56,0.48,0.54,0.76,1.01,0.34,3.2,1.16,0.98
"DNAJC18",2.14,5.93,19.05,2.19,2.16,4.8,2.9,3.04,8.68,12.02,2.41
"ECSCR",0.1,0.44,0.13,0.09,0.08,0.11,0.05,0.34,0.08,0.08,0.27
"SMIM33",0,0.11,0.29,0.01,0,0,0,0,0.15,0,0
"TMEM173",0.48,0.77,6.48,0.44,0.5,0.85,0.69,1.21,4.95,1.4,0.54
"UBE2D2",46.91,75.74,88.76,43.27,45.09,58.5,56.96,41.93,89.12,63.85,40.75
"CXXC5",21.16,28.76,47.7,19.64,20.14,27.92,19.66,11.88,57.08,50.27,16.44
"PSD2-AS1",0,0.11,0.55,0.01,0.02,0.19,0,0,0.84,0.47,0
"NRG2",0.34,0,0.49,0.45,0.42,0.61,0.31,0.39,0.99,0.7,0.45
"MALINC1",0.4,0.33,0.26,0.41,0.42,0.66,0.19,0.14,0.3,0.23,0
"PURA",16,14.16,21.55,12.93,14.5,16.83,14.9,7.05,29.45,13.11,6.7
"IGIP",0.87,0.66,0.84,0.74,0.6,1.61,0.79,0.43,1.45,0.39,0.09
"CYSTM1",15.29,17.34,14.55,14.34,16.74,25.28,14.59,17.05,30.59,14.35,27.79
"PFDN1",14.91,28.1,26.8,13.66,10.78,17.15,18.9,9.66,49.85,17.07,15.73
"HBEGF",0.83,1.54,4.12,1.1,2.49,1.05,1.58,0.92,7.15,2.25,2.06
"ANKHD1",18.27,34.47,16.62,20.5,19.51,35.74,20.41,20.72,46.88,26.69,3.49
"SRA1",11.44,28.76,16.72,11.23,13.1,13.38,22.23,11.45,37.37,16.6,13.67
"EIF4EBP3",2.78,1.43,0.39,4.12,2.71,2.09,4.31,3.14,3.04,1.63,0.36
"APBB3",1.93,2.52,1.1,2.21,2.55,1.54,3.71,1.59,2.74,1.32,1.61
"SLC35A4",3.96,8.78,4.28,4.08,4.09,2.5,7.69,3.09,13.09,2.02,4.56
"CD14",0.46,0.44,0.39,0.36,0.34,2.53,0.41,0.53,1.67,2.33,1.43
"NDUFA2",27.3,50.38,50.62,24.1,25.57,22.11,36.1,19.13,77.4,26.84,28.95
"TMCO6",1.49,2.96,0.45,1.51,1.52,1.42,2.42,1.74,4.34,1.01,1.79
"IK",27.65,38.97,44.2,26.28,24.19,27.3,33.22,20,65.68,30.41,19.93
"WDR55",6.82,9.77,6.51,7.04,7.34,4.79,9.41,5.51,14.69,5.28,5
"DND1",0.16,0.22,0.81,0.19,0.24,0.52,0.24,0.14,0.61,0.54,0.36
"HARS",9.1,17.89,13.29,8.32,7.53,8.39,11.86,7.49,29.53,10.63,6.7
"HARS2",4.21,6.92,6.06,3.59,3.56,4.53,6.37,5.27,9.74,5.2,2.5
"ZMAT2",18.68,33.26,32.44,18.97,16.05,17.04,23.74,16.28,52.66,21.41,22.88
"PCDHA1",0,0,0,0,0,0.01,0,0,0,0,0
"PCDHA4",0,0,0.06,0,0,0,0,0,0,0,0
"PCDHA5",0,0,0,0,0,0,0,0,0,0,0
"PCDHA6",0,0,0,0,0,0,0,0,0,0,0
"PCDHA7",0,0,0,0.01,0,0,0,0,0,0,0
"PCDHA9",0,0,0.03,0.01,0,0.06,0,0,0,0,0.09
"PCDHA10",0.01,0,0.1,0,0.01,0.01,0.02,0,0,0.08,0
"PCDHA12",0,0,0,0,0.01,0,0,0,0,0,0
"PCDHAC2",0,0,0,0,0,0,0,0,0,0,0
"PCDHB2",0.01,0,0.16,0.04,0,0.01,0.02,0,0.08,0,0
"PCDHB3",0.01,0,0,0,0.01,0.01,0.02,0,0,0.08,0
"PCDHB4",0.01,0,0.06,0,0,0.01,0,0.05,0,0,0.09
"PCDHB5",0.01,0,0,0,0.01,0.01,0,0,0.08,0,0
"PCDHB6",0,0,0.03,0,0,0,0,0,0,0,0
"PCDHB7",0,0,0,0,0,0.01,0,0,0,0,0
"PCDHB16",0.01,0,0,0,0,0.04,0,0,0,0,0
"PCDHB9",0.13,0,0.13,0.01,0.09,0.11,0.07,0.05,0,0.08,0.09
"PCDHB10",0.01,0,0,0,0,0.03,0,0.05,0,0,0
"PCDHB11",0.02,0,0.03,0.01,0,0,0,0,0,0,0
"PCDHB12",0,0,0,0,0.01,0.03,0,0.05,0,0,0
"PCDHB13",0.01,0,0,0,0.02,0.01,0,0,0.08,0,0
"PCDHB14",0.02,0,0,0.02,0.03,0.01,0,0,0,0,0
"PCDHB15",0.01,0,0.03,0,0,0,0,0,0,0.08,0
"TAF7",41.27,54.99,73.4,40.07,46.48,38.6,44.93,29.71,68.11,53.61,33.87
"PCDHGA1",0.06,0,0,0.01,0.09,0.07,0.05,0,0.15,0.16,0
"PCDHGA3",0.02,0,0.06,0,0,0,0.02,0.05,0,0,0
"PCDHGA5",0.33,0.66,0.13,0.06,0.17,0.11,0.26,0.1,0.15,0.08,0
"PCDHGB3",0.09,0.11,0,0.02,0.03,0.03,0.1,0,0,0,0
"PCDHGA6",0.5,0.77,0.29,0.14,0.31,0.29,0.24,0.14,0.53,0.23,0
"PCDHGA7",0.11,0.11,0,0.07,0.08,0.04,0.02,0.1,0.08,0,0
"PCDHGA8",0.34,0.22,0.13,0.04,0.12,0.17,0.1,0,0.3,0.23,0.09
"PCDHGA9",0.08,0.22,0.03,0.01,0.03,0.04,0.07,0,0,0.08,0
"PCDHGB6",0.26,0.22,0.23,0.04,0.14,0.14,0.14,0,0.08,0,0
"PCDHGA10",0.8,1.43,0.29,0.25,0.64,0.37,0.46,0.19,0.23,0.16,0
"PCDHGB7",0.11,0.11,0.06,0,0.07,0.04,0.02,0.05,0.15,0,0
"PCDHGA11",0.09,0.11,0.03,0,0.03,0.06,0,0,0.23,0.08,0
"PCDHGA12",0.34,1.1,0.1,0.04,0.23,0.07,0.36,0.14,0.61,0.08,0
"PCDHGC3",0.22,2.63,0.13,0.01,0.18,0.03,1.05,0.14,1.07,0,0.09
"DIAPH1",14.46,26.13,46.08,12.39,13.94,30.04,22.49,10.53,60.12,19.71,6.43
"HDAC3",11.03,17.78,18.21,9.23,10.08,10.09,16.02,7.97,31.05,9.39,7.95
"RELL2",2.26,5.16,0.62,1.28,2.23,1.39,5.34,0.87,3.04,1.01,1.25
"FCHSD1",4.68,6.26,0.84,3.69,5.05,2.85,7.88,3.53,4.26,1.78,2.5
"ARAP3",0.12,0,0.19,0.03,0.12,0.19,0.07,0.19,0.08,0.16,0.09
"PCDH1",0.05,0.33,0.23,0.04,0.03,0.15,0.02,0.1,0.46,0.08,0.09
"DELE1",6.04,16.79,12.22,5.8,4.63,8.83,5.13,7.25,16.44,9.62,0.63
"PCDH12",0.03,0,0.49,0.03,0.1,0.76,0.02,0,0.38,0.31,0
"RNF14",4.24,12.62,9.66,3.35,4.19,5.3,6.99,3.82,13.01,6.21,3.75
"GNPDA1",3.8,2.63,1.56,2.39,4.01,2.74,6.13,2.61,3.73,1.09,2.5
"NDFIP1",18.46,18.88,19.38,15.25,18.17,25.02,21.77,15.27,25.8,13.19,15.37
"SPRY4",0.07,0.11,0.16,0.04,0.09,0.12,0.12,0.1,0.23,0.23,0.09
"SPRY4-AS1",0,0,0.94,0,0.01,0.54,0,0,0.61,0.54,0
"FGF1",0.02,0,0.26,0.01,0.02,0.18,0.02,0,0.38,0.08,0
"ARHGAP26",2.17,3.73,35.64,2.67,2.3,18.69,2.3,1.11,36,17.84,0.8
"ARHGAP26-AS1",0.01,0.11,1.75,0.01,0.03,1.18,0,0,2.66,0.93,0.18
"NR3C1",33.96,66.85,91.25,36.96,34.19,57.73,42.4,40.48,82.65,70.44,25.47
"HMHB1",0,0.33,48.64,0.02,0.01,0.26,0.05,0.05,13.01,7.84,0
"YIPF5",13.05,18,8.17,11.76,10.58,7.1,15.81,11.5,21.46,4.58,9.65
"KCTD16",0.04,0,0.26,0.05,0.05,0.54,0.07,0.1,0.61,0.16,0
"PRELID2",0.99,0.44,7.62,0.67,1.18,2.59,1.37,0.82,13.55,2.17,0.63
"SH3RF2",0.03,0.22,0.29,0.03,0.03,0.17,0.05,0.05,0.08,0.39,0.36
"PLAC8L1",0.04,0,0.65,0.04,0.04,0.51,0.02,0,0.76,1.16,0
"LARS",15.88,23.6,31.53,16.72,14.63,19.51,17.89,11.4,47.95,42.2,7.15
"RBM27",14.58,23.16,11.5,15.35,12.19,23.78,10.85,12.46,36.07,23.27,12.96
"POU4F3",0,0,0,0,0.01,0,0,0,0,0,0
"TCERG1",16.46,33.26,45.63,17.36,17.15,27.14,23.31,16.57,64.46,30.1,9.65
"PPP2R2B",0.07,0,0.78,0.04,0.02,0.98,0.07,0.72,1.52,2.33,0.09
"STK32A-AS1",0,0,0.06,0,0,0,0,0,0.08,0,0
"STK32A",0,0,0.06,0.01,0.03,0.06,0,0,0.23,0.08,0
"DPYSL3",0.07,0.11,1.36,0.1,0.1,0.18,0.07,0.29,0.68,0.78,0.45
"JAKMIP2-AS1",0,0,0.87,0.01,0,0.41,0,0,0.84,0.47,0
"JAKMIP2",0.19,1.65,9.98,0.3,0.36,3.12,0.36,0.14,9.59,7.53,0.54
"SPINK1",0.62,0.66,0,0.54,0.35,0.07,0.31,1.26,0.23,0.16,0
"C5orf46",0,0,0,0.01,0.01,0,0.05,0,0,0,0
"MARCOL",0,0,0.06,0,0,0.03,0,0,0.08,0,0
"FBXO38",4.86,7.35,20.25,4.98,4.35,13.13,6.59,3.91,21.84,13.81,2.86
"HTR4",0.02,0,0.16,0,0.01,0.08,0.02,0,0.15,0.08,0
"ADRB2",3.73,1.1,0.26,3.59,7.43,2.19,6.87,3.62,1.83,0.7,2.5
"SH3TC2",0.03,0.11,0.23,0.02,0.03,0.07,0.02,0.05,0.15,0.16,0
"SH3TC2-DT",0,0,0.1,0,0,0.06,0,0,0.15,0,0
"ABLIM3",0.02,0.11,0.03,0.01,0.01,0.04,0,0.05,0.15,0.16,0.09
"AFAP1L1",0.05,0.11,0.23,0.08,0.06,0.11,0.05,0.14,0.23,0.39,0
"GRPEL2",1.21,2.09,1.13,1.27,1,1.18,1.94,1.45,5.86,1.86,0.98
"GRPEL2-AS1",0.01,0,0.16,0.01,0.03,0.37,0,0.05,0.68,0.39,0
"PCYOX1L",1.01,3.18,0.78,0.99,1.16,1.05,1.75,1.16,4.34,0.78,0.36
"IL17B",0,0,0.03,0,0,0.1,0,0,0,0,0
"CARMN",0.02,0,0.52,0.04,0.03,0.12,0.02,0.05,0.38,0.39,0
"CSNK1A1",33.03,59.6,81.85,31.69,32.3,42.81,40.12,27.54,80.52,55.7,24.49
"ARHGEF37",0.73,1.1,3.31,0.55,0.86,1.42,0.81,0.29,3.5,1.55,0.45
"PPARGC1B",1.15,0.44,6.16,0.52,0.84,2.5,1.41,0.34,7.91,0.39,0.36
"PDE6A",0.08,0.11,0.62,0.09,0.04,0.19,0.07,0,0.84,0.23,0.09
"SLC26A2",2.85,2.63,7.19,2.77,2.57,3.69,2.44,2.22,7.84,2.72,2.95
"TIGD6",0.43,0.77,0.78,0.51,0.73,0.63,0.96,0.29,1.9,1.09,0.45
"HMGXB3",7.99,17.12,23.95,8.48,7.64,11.26,10.66,6.67,28.61,17.84,2.59
"CSF1R",0.09,0.22,0.32,0.1,0.11,0.78,0.05,0.39,0.76,1.32,0.27
"PDGFRB",0.08,0.22,0.97,0.31,0.1,0.66,0.17,0.1,1.6,0.93,0.09
"CDX1",0.07,0,0,0.04,0.02,0,0,0.14,0.08,0,0
"SLC6A7",0.01,0,0.06,0,0,0.03,0,0,0.15,0,0
"CAMK2A",0.01,0,0,0,0,0.1,0,0,0.15,0.08,0
"ARSI",0,0.11,0.42,0.01,0,1.28,0,0,0.53,0.31,0
"TCOF1",13.12,12.29,40.47,14.45,17.12,35.45,13.49,3.96,44.6,31.42,8.67
"CD74",99.81,100,99.22,99.76,99.79,98.89,99.9,99.71,99.16,97.6,99.73
"NDST1-AS1",0.02,0,0.26,0.01,0,0.07,0,0,0.15,0.16,0
"NDST1",0.5,0.66,5.02,0.21,0.52,0.84,1.29,0.43,3.04,1.47,0.27
"SYNPO",1.33,0.77,0.32,0.69,1.11,2.23,2.54,0.29,1.07,0.08,0.54
"MYOZ3",0.02,0,0.36,0.02,0.1,0.12,0.05,0,0.53,0.16,0.18
"RBM22",19.91,33.15,36.07,19.2,23.4,16.49,22.92,17.2,47.26,25.29,13.58
"DCTN4",8.44,14.16,40.64,9.03,10.89,20.83,14.95,9.71,36.68,28.55,2.5
