"gene","B_C1_CRIP1","B_C10_LOMO2","B_C11_MZB1_PC","B_C2_IGHM_Bn","B_C3_HSPA1A","B_C4_FCRL1","B_C5_IFIT3","B_C6_ZZF331","B_C7_MKI67","B_C8_BACH2","B_C9_IGLL5"
"TMCO4",4.27,3.29,14.81,3.17,4.08,8.27,5.46,3.09,9.36,7.53,1.43
"OTUD3",2.66,3.84,6.87,3.02,2.44,4.03,2.01,1.98,14.46,4.89,0.45
"PLA2G5",0.01,0.11,0.13,0.06,0.03,0.18,0.02,0,0.38,0.08,0
"PLA2G2D",0.16,0,0,0.09,0.1,0.36,0.26,0.34,0.15,0.31,0.27
"PLA2G2C",0.02,0.33,0,0.01,0,0.03,0,0,0,0.08,0
"UBXN10-AS1",0.04,0,0,0.09,0.03,0.11,0.1,0.43,0.08,0,0
"UBXN10",0.08,0,0,0.08,0.05,0.06,0.29,0.05,0.08,0.08,0
"CAMK2N1",1.21,0.44,0.32,0.63,0.94,1.17,0.48,0.34,0.76,0.23,0.45
"MUL1",4.48,8.78,4.08,4.04,4.02,2.86,6.9,5.12,8.45,2.87,4.74
"CDA",0.07,0.22,0.87,0.14,0.05,0.4,0.05,0.14,0.38,0.78,0.54
"PINK1",1.46,2.09,12.05,1.68,1.14,2.28,1.15,1.35,7.46,6.44,1.34
"PINK1-AS",0.24,0.22,2.66,0.16,0.19,1.13,0.19,0.05,2.13,2.17,0.18
"DDOST",18.47,35.35,29.42,18.28,19.2,14.01,27.86,17.87,45.66,16.21,15.64
"KIF17",0.02,0,0.49,0.02,0.01,0.1,0,0,0.61,0.16,0
"HP1BP3",32.9,44.9,69.35,30.97,29.43,43.03,38.28,26.04,84.32,44.22,20.11
"EIF4G3",12.03,21.95,70.32,14.62,12.74,57.34,16.6,7.87,58.37,63.93,4.56
"ECE1",9.63,16.47,2.04,7.36,11.43,20.52,16.22,6.91,16.51,4.03,7.24
"NBPF3",0.61,0.99,1.46,0.52,0.66,1.51,0.72,0.68,2.13,0.7,0.63
"ALPL",3.02,0.99,0.58,2.5,4.5,2.12,1.39,4.49,0.68,0.39,2.32
"RAP1GAP",0.07,0.11,0.39,0.02,0.05,0.22,0,0.05,0.3,0.23,0.09
"USP48",17.74,31.39,51.1,14.86,18.52,29.27,25.25,14.35,58.83,34.99,9.47
"LDLRAD2",0.19,0.33,0.16,0.04,0.17,0.07,0.77,0.05,0.3,0,0.09
"HSPG2",0.54,0.11,3.95,0.33,0.4,1.16,0.81,1.01,3.04,1.86,0.8
"CELA3B",0,0,0.13,0,0,0.07,0,0.05,0.08,0,0
"CDC42",61.77,77.17,87.17,57.02,59.27,64.61,66.61,49.86,89.12,69.51,50.4
"CDC42-AS1",0.11,0.33,0.23,0.18,0.28,1.58,0.12,0.1,0.99,0.23,0
"CDC42-IT1",0.77,0.55,0.29,0.76,0.83,0.89,0.62,0,0.68,0.23,0
"WNT4",0.04,0,0.49,0.03,0.01,0.19,0,0,0.08,0.31,0.09
"ZBTB40",5.88,7.9,14.29,6.11,6.58,9.81,6.37,4.69,14.23,8.61,1.61
"C1QA",2.19,0.88,0.39,2.03,1.94,3.91,1.34,1.88,2.28,2.48,3.84
"C1QC",1.16,0.55,0.29,0.96,0.96,1.98,0.89,1.64,1.45,0.39,1.97
"C1QB",1.96,1.21,0.58,2.01,1.78,3.43,1.63,1.69,2.36,1.55,4.29
"EPHB2",0.02,0.11,0.23,0.02,0.04,0.15,0.02,0.1,0.15,0.16,0
"TEX46",0,0,0.06,0,0,0.12,0,0,0,0,0
"KDM1A",5.62,15.37,60.05,5.09,4.87,13.39,6.28,3.72,50.23,25.83,2.32
"LUZP1",4.59,5.05,48.64,5.61,5.67,12.48,5.05,3.33,36.61,19.32,4.74
"HNRNPR",32.89,56.75,75.73,34.51,31.26,41.9,39.16,27.63,89.19,54.85,26.63
"ZNF436",0.66,0.55,1.65,0.57,0.66,0.58,0.57,0.68,2.44,0.7,0.36
"ZNF436-AS1",0.21,0.22,2.56,0.3,0.29,0.33,0.19,0.1,1.29,0.54,0
"TCEA3",0.16,0.22,0.19,0.11,0.11,0.3,0.07,0.1,0.53,0.7,0.45
"ASAP3",0.08,6.48,1.59,0.09,0.1,0.47,0.05,0.19,4.87,1.47,0.18
"E2F2",0.08,0.33,9.2,0.06,0.06,0.54,0.29,0.05,48.33,5.12,0
"ID3",37.83,43.58,45.24,29.84,45.54,20.93,54.49,31.11,60.43,13.19,53.44
"MDS2",1.5,1.76,3.18,0.76,1.31,3.39,1.87,1.01,1.75,0.85,0.8
"ELOA-AS1",0.68,1.98,6.55,0.86,0.7,6.91,0.57,0.82,7.84,6.59,0
"ELOA",10.45,12.73,40.28,10.12,6.67,11.22,7.02,6.38,28.92,25.68,0.36
"PITHD1",21.85,25.14,20.45,22.92,25.91,16.43,25.37,17.49,45.51,10.86,16.8
"LYPLA2",11.46,24.81,6.68,8.44,10.01,5,20.53,8.84,22.45,4.73,9.03
"GALE",1.46,3.73,0.91,1.18,1.65,0.96,2.06,1.59,7.31,0.62,1.52
"HMGCL",3.58,10.54,5.67,3.62,3.09,4.05,6.51,1.98,14.16,4.89,4.2
"FUCA1",2.65,12.51,2.53,2.06,2.36,3.55,3.86,2.27,12.33,6.05,2.14
"CNR2",7.51,13.28,14.74,7.88,7.95,28.55,8.89,3.96,11.49,11.95,6.88
"PNRC2",30.36,51.37,56.64,32.12,31.74,33.45,38.68,27.58,70.7,40.73,4.29
"SRSF10",38.46,62.68,79.62,39.82,43.39,51.71,49.58,36.38,89.65,52.6,16.35
"MYOM3",0.01,0,0.03,0.01,0,0.06,0,0,0.08,0.08,0.09
"IFNLR1",2.71,20.75,1.36,3.91,2.4,9.94,8.86,3.53,18.42,7.6,1.61
"STPG1",1.13,3.51,1.07,0.62,1.09,1.62,2.49,0.53,4.79,0.62,0.54
"NIPAL3",5.41,10.21,9.88,5.47,4.74,8.64,8.41,3.09,14.54,6.13,3.31
