"CellMajor","safe_name"
"B cells","B_cells"
"Endothelial cells","Endothelial_cells"
"Epithelial cells","Epithelial_cells"
"Mast cells","Mast_cells"
"Mesenchymal cells","Mesenchymal_cells"
"Myeloid cells","Myeloid_cells"
"Plasma cells","Plasma_cells"
"T and NK cells","T_and_NK_cells"
