"gene","EC_C1_IGFBP7","EC_C10_COL1A2","EC_C11_RROX1","EC_C12_FCN3","EC_C13_MKI67","EC_C2_GJA5","EC_C3_HSPA1A","EC_C4_FLT1","EC_C5_ROBO2","EC_C6_ACKR1","EC_C7_IL6","EC_C8_IL32","EC_C9_CXCR4"
"ZBTB42",0.77,1.78,1.23,1.82,2.35,1.57,0.97,1.75,2.17,1.75,1.57,2.11,0.88
"CEP170B",0.82,4.49,1.84,1.37,1.18,1.94,0.97,1.02,3.38,2.71,3.82,1.78,1.07
"PLD4",0.15,0.47,0.31,0.23,0.71,0.08,0.15,0.13,0.35,0.25,0.26,0.19,1.2
"AHNAK2",3.67,6.74,3.27,1.59,6.82,7.05,4.02,3.02,16.25,18.62,15.5,5.06,2.21
"CLBA1",0.59,1.69,0.72,0.46,1.65,0.99,0.8,1.83,3.22,1.2,1.27,1.31,1.14
"CDCA4",2.9,6.27,5.01,2.05,22.35,4.69,2.95,3.81,4.98,4.86,4.84,5.2,5.31
"GPR132",0.14,0.47,0.31,0,0.47,0.27,0.37,0.48,0.54,0.25,0.23,0.42,8.98
"JAG2",19.96,33.33,2.86,5.24,34.12,59.9,14.76,53.48,26.29,14.22,14.45,40.84,13.91
"NUDT14",21.92,36.14,15.42,16.63,28.94,42.15,20.73,25.62,23.72,26.25,34.88,38.36,16.06
"BRF1",4.82,13.67,4.09,4.1,16.47,10.59,5.49,12.9,18.2,8.22,8.53,13.11,6.7
"BTBD6",8.09,17.23,5.62,6.15,30.12,17.25,9.27,20.62,17.49,10.31,12.13,19.95,10.56
"PACS2",9.86,23.22,6.95,9.11,23.29,22.96,13.06,24.81,27.62,17.97,17.16,20.7,10.75
"TEX22",0.17,1.12,0.2,0.46,0.24,0.62,0.15,0.84,1.95,0.46,0.26,0.47,0.51
"MTA1",9.12,19.57,9.3,8.2,21.65,16.77,11.01,19.1,20.12,14.22,15.4,18.64,11.19
"CRIP2",72.16,84.08,68.13,49.2,83.53,89.72,67.38,84.71,78.69,83.88,88.53,90.3,46.97
"CRIP1",18.47,45.22,28.8,5.24,68.94,36.67,13.51,39.28,30.49,21.29,17.69,43.28,51.2
"TEDC1",1.17,2.34,1.53,0.91,19.76,2.42,1.4,3.5,4.47,1.97,1.6,4.36,3.41
"TMEM121",4.56,7.96,2.76,1.82,5.88,5.69,5.02,13.03,6.88,4.86,6.64,10.59,3.6
"IGHA2",1.71,4.12,1.33,5.92,4,4.76,2.82,3.5,10.56,3.38,4.45,2.95,5.94
"IGHE",0,0,0,0,0,0,0.02,0,0,0,0.07,0,0.06
"IGHG4",4.7,11.61,3.27,15.49,8.47,9.91,6.29,8.13,15.41,6.8,4.9,7.17,15.74
"IGHG2",1.47,2.9,0.61,10.93,2.35,3,1.37,2.41,9.29,1.85,2.55,2.39,5.18
"IGHGP",1.87,3.93,0.61,12.76,1.65,5.38,1.25,4.09,16.36,2.65,2.88,2.95,2.28
"IGHA1",14.74,22.94,8.99,46.24,15.06,22.61,18.98,16.66,49.82,16.4,18.31,18.78,28.95
"IGHG1",7.36,14.79,4.29,26.42,11.29,13.15,7.64,8.46,27.86,8.49,8.76,10.21,19.03
"IGHG3",6.14,11.52,2.04,20.05,9.18,11.73,5.99,7.14,19.06,5.97,5.92,6.6,15.3
"IGHD",0.94,1.59,0.31,5.69,0.47,2.19,0.65,0.99,7.01,0.68,0.88,1.08,2.09
"IGHM",3.1,4.59,1.63,7.97,3.76,3.78,3.05,3.12,5.98,2.86,4.12,3.79,9.42
"IGHJ4",0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM30A",0.12,0.09,0.1,0,0,0.06,0.1,0.1,0.62,0.09,0.2,0.05,1.52
