"gene","EC_C1_IGFBP7","EC_C10_COL1A2","EC_C11_RROX1","EC_C12_FCN3","EC_C13_MKI67","EC_C2_GJA5","EC_C3_HSPA1A","EC_C4_FLT1","EC_C5_ROBO2","EC_C6_ACKR1","EC_C7_IL6","EC_C8_IL32","EC_C9_CXCR4"
"FAM87B",0.12,0.37,0,0.46,0.24,0.1,0.1,0.15,0.14,0,0.07,0.05,0
"FAM41C",0.35,0.84,0.61,0.23,1.18,0.79,0.62,0.51,0.65,0.43,0.59,0.8,0.25
"SAMD11",0.2,1.22,0.1,0.91,0.24,0.29,0.37,0.3,0.84,1.75,1.96,0.37,0.44
"NOC2L",10.1,27.25,11.95,8.2,24.94,16.77,10.34,20.21,20.23,15.91,19.29,22.11,12.45
"KLHL17",0.6,1.4,1.33,0.68,0.47,1.32,0.82,2.54,0.89,0.58,0.69,2.48,2.02
"PLEKHN1",0.22,0.56,0.31,0,0.47,0.19,0.2,0.51,0.41,0.55,0.82,0.33,0.88
"HES4",18.71,52.15,22.17,5.01,27.29,55.26,16.11,44.67,14,5.75,10.76,30.82,17.64
"ISG15",38.46,65.17,31.26,33.71,57.65,63.12,47.18,54.95,40.7,39.2,52.73,59.06,47.85
"AGRN",19.59,33.99,10.73,12.3,36.71,31.13,16.53,49.72,29,25.32,22.03,42.72,13.27
"RNF223",0,0.19,0,0,0,0,0,0.03,0,0.06,0.03,0,0
"C1orf159",2.07,5.06,1.33,4.1,4.71,4.55,3.15,5.21,7.15,4.15,3.6,5.2,3.6
"TTLL10",1.24,2.62,0.2,1.59,0,2.96,2.02,0.74,0.87,0.65,1.24,0.98,0.82
"TNFRSF18",1.16,3.37,2.76,0.46,0.94,3.6,1,2.11,1.25,0.49,1.21,3.75,11.69
"TNFRSF4",17.97,29.68,18.59,5.92,13.65,30.73,16.18,32.83,10.37,3.72,6.86,45.43,21.49
"SDF4",32.86,59.08,32.99,28.93,56,54.83,34.89,52.67,45.65,44.22,52.63,56.35,32.24
"B3GALT6",5.28,12.36,5.11,5.24,15.29,9.31,5.34,13.41,12.67,7.26,8.37,15.5,6.83
"C1QTNF12",1.06,1.97,0,0,2.82,3.76,1,5.82,2.33,0.55,0.92,3.42,1.83
"UBE2J2",12.37,24.44,13.99,12.07,32,21.1,14.76,24.71,23.48,18.65,22.07,28.52,14.48
"SCNN1D",0.16,0.56,0.61,0.23,0.24,0.27,0.42,0.43,0.41,0.37,0.42,0.7,0.13
"ACAP3",3.63,11.52,2.25,2.73,11.06,6.95,4.92,7.95,7.58,5.57,4.67,9.04,6.7
"PUSL1",2.72,6.18,2.35,2.05,10.35,4.07,2.57,4.09,4.22,3.45,4.09,7.49,3.41
"INTS11",6.6,11.8,10.21,5.24,25.88,13.22,9.34,21.58,21.99,12.46,11.64,20.05,14.16
"CPTP",8.76,14.61,5.41,8.66,18.59,14.11,9.47,14.53,11.54,11.45,10.49,16.44,6.26
"TAS1R3",0.09,0,0.1,0,0,0.06,0.07,0.03,0.08,0.03,0.2,0.05,0.25
"DVL1",4.61,11.7,4.49,3.42,9.41,9.45,6.97,12.98,12.62,9.08,10.2,12.22,5.88
"MXRA8",0.95,28.18,1.43,1.59,4.71,2.17,0.9,2.89,3.57,1.85,2.16,2.95,1.01
"AURKAIP1",34.54,61.52,33.81,32.57,62.59,46.56,37.54,48.27,45.98,44.4,54.82,58.64,36.73
"CCNL2",18.29,39.89,18.49,16.63,34.82,31.07,27.52,40.55,47.47,32.43,30.86,34.71,28.57
"MRPL20-AS1",1.32,2.06,1.23,0.46,4,2.48,0.9,6.2,3.01,1.91,1.47,4.5,1.9
"MRPL20",32.22,58.71,40.35,34.4,59.53,45.01,35.51,48.22,47.63,45.32,53.25,54.99,36.66
"ANKRD65",7.5,13.01,1.53,2.51,7.76,6.1,7.89,11.86,7.93,8.65,13.27,11.9,3.98
"VWA1",48.9,59.55,7.97,19.59,69.65,30.2,40.48,84.43,60.06,49.75,54.07,81.59,24.91
"ATAD3C",1.56,3.84,1.74,0.68,4.24,1.61,1.97,3.33,2.84,1.88,2.75,3.04,1.45
"ATAD3B",3.11,7.87,2.35,1.82,10.82,5.6,4.22,6.55,8.83,4.62,5.52,7.12,5.56
"ATAD3A",4.3,9.18,3.47,3.19,20.24,7.53,4.57,8.68,9.04,6.09,7.16,12.74,3.03
"TMEM240",0.34,1.03,0.2,0,2.12,0.39,0.45,1.8,0.73,0.71,0.33,1.08,0.19
"SSU72",28.57,51.22,30.75,19.82,53.18,41.32,32.24,45.3,41.59,36.22,46.85,50.68,35.97
"FNDC10",0.23,0.37,0.2,0.23,3.06,0.5,0.15,1.42,0.41,0.03,0.2,0.94,0.51
"MIB2",5.93,13.86,5.92,4.1,13.41,8.48,7.92,13.31,11.89,8.95,11.41,12.69,11.76
"MMP23B",0.29,1.69,0.51,0,0.24,0.41,0.47,0.33,0.43,0.18,0.42,0.56,1.64
"CDK11B",10.65,26.22,9.19,10.71,29.65,18.49,13.81,24.07,31.19,16.28,16.48,23.75,16.69
"SLC35E2B",5.04,17.13,5.11,6.61,13.18,8.67,5.87,11.63,13.27,7.63,8.5,11.66,7.71
"CDK11A",9.07,21.91,9.09,11.16,23.76,17.41,13.44,25.88,29.33,14.03,15.27,21.17,17.38
"SLC35E2A",1.49,2.81,2.45,1.37,4.47,3.04,1.67,6.55,6.07,2.95,1.63,4.26,2.28
"NADK",6.94,19.85,5.21,5.92,22.59,16.24,8.54,13.99,18.55,17.75,18.99,13.91,9.29
"GNB1",35.16,70.04,38,35.08,73.65,62.01,43.33,76.87,81.75,49.6,54.4,69.65,47.03
"CALML6",0.01,0,0,0,0.24,0,0,0.03,0,0.03,0,0.09,0.06
"CFAP74",1.21,2.53,0.1,0,2.12,0.52,0.45,7.24,1.06,0.15,0.07,5.43,0.7
"GABRD",10.23,15.07,2.04,0.68,15.76,4.94,4.52,43.58,8.2,1.2,1.57,37.89,4.05
"PRKCZ",2.27,3.46,13.18,2.05,9.41,3.1,2.15,8.74,10.05,2.86,2.81,9.6,5.44
"PRKCZ-AS1",0.11,0.28,0,0,0.24,0.14,0.1,0.43,0.38,0.25,0.26,0.33,0.06
"FAAP20",20.03,46.82,15.02,18,42.12,28.91,24.63,28.31,30.41,28.46,36.19,40.52,20.04
"SKI",14.1,40.54,14.61,15.72,43.06,36.03,22.25,43.55,53.51,28.58,33.64,37.14,25.85
"MORN1",0.58,2.9,1.02,1.14,0.94,1.34,0.75,1.57,3.95,1.6,1.27,1.45,1.01
"RER1",23.61,47.38,27.68,21.64,53.41,36.55,25.92,38.24,39.83,35.66,43.41,45.67,28.63
"PEX10",5.22,14.04,5.21,3.87,11.29,9.02,6.49,8.35,10.34,8.15,10.07,10.96,4.55
"PLCH2",0.07,0.09,0.2,0,0,0.17,0.1,0.15,0.05,0.15,0.23,0.09,1.58
"PANK4",2.43,5.99,3.58,2.28,5.65,4.14,2.55,5.87,5.12,3.08,2.52,5.48,3.16
"HES5",1.23,3.37,0.51,0,0.24,9.6,1.05,2.21,1.54,0.4,0.65,1.12,1.52
"TNFRSF14-AS1",1.28,1.31,0.82,0.68,0.47,2.23,1.77,3.22,3.44,0.92,0.88,2.9,3.03
"TNFRSF14",18.62,36.8,28.91,17.08,21.65,29.12,28.95,28.01,28.19,29.26,34.32,33.11,30.85
"PRXL2B",2,2.34,3.17,0.91,17.41,5.19,1.4,11.33,6.44,4.12,2.58,11.01,2.34
"MMEL1",0.74,1.78,1.02,1.59,0,2.42,1.75,0.43,0.6,1.23,1.6,0.8,0.88
"TTC34",0.06,0.09,0.1,0,0.24,0.23,0.2,0.1,0.22,0.22,0.1,0.23,0.19
"PRDM16-DT",0.06,0.28,0,0,0,3.1,0.1,0.05,0.05,0,0,0.14,0.13
"PRDM16",0.62,2.43,0,0,0.24,21.8,0.35,0.84,1,0.06,0.1,0.37,1.26
"ARHGEF16",0.15,0.47,0,0,0,0.31,0.22,0.23,0.16,0.25,0.42,0.28,0.25
"MEGF6",1.12,3.65,14.1,2.51,1.88,1.68,1.92,0.61,5.39,5.91,7.39,2.15,1.9
"TPRG1L",7.2,19.29,8.48,11.16,17.41,16.67,9.47,18.61,18.12,12.15,13.17,18.31,9.36
"WRAP73",5.71,13.58,4.8,4.56,11.53,10.16,7.47,11.96,9.83,9.35,11.9,12.6,7.84
"TP73",0.03,0,0.1,0,1.88,0.02,0.02,0.23,0.08,0.06,0,0,0.19
"SMIM1",0.66,1.03,0,0,1.41,0.56,0.52,1.07,0.49,0.74,1.41,0.66,0.25
"LRRC47",7.38,15.92,9.19,7.29,19.53,14.37,9.44,15.59,14.54,13.32,13.86,16.96,9.04
"CEP104",6.11,15.73,5.21,5.01,16.94,14.4,8.12,18.41,17.52,10.37,11.83,14.24,11.13
"DFFB",1.35,4.49,1.53,2.05,4.71,2.85,1.67,4.44,5.74,2.77,1.93,4.07,1.96
"C1orf174",5.42,13.76,9.3,5.47,14.82,10.01,6.42,9.4,10.89,8.92,11.38,10.59,8.15
"AJAP1",1.39,4.4,0,2.05,2.59,1.05,4.47,8.08,3.09,1.54,1.34,5.2,2.09
"NPHP4",1.55,5.52,1.53,0.91,5.65,3.19,1.92,5.26,7.64,2.74,2.84,3.89,2.15
"KCNAB2",1.63,4.59,1.53,0.68,4.94,3.31,2.2,4.29,5.5,2.8,3.11,4.03,10.87
"CHD5",0.05,0.09,0.1,0,0,0.1,0.05,0.08,0.16,0.03,0.03,0,0.06
"RNF207",0.82,3.28,1.12,0,0.47,2.01,1.37,1.19,1.68,2.25,2.45,1.17,0.63
"ICMT",10.34,22.94,9.81,8.66,43.29,19.5,9.67,27.09,21.99,17.38,15.92,25.29,9.86
"GPR153",0.27,2.9,0.72,0.68,0.71,0.12,0.22,0.69,1.57,0.68,0.33,0.98,0.95
"ACOT7",9.66,15.07,5.92,2.96,47.29,14.85,7.49,20.09,17.36,9.54,10.62,25.53,8.6
"HES2",0.74,0.66,0.41,0,3.29,0.33,0.42,1.7,1.73,0.8,0.78,3.37,0.51
"ESPN",0.23,0.94,0.1,0.23,1.41,0.17,0.3,0.15,0.22,0.18,0.26,0.37,0.7
"TNFRSF25",4.72,8.24,2.86,4.1,19.53,8.69,5.54,15.26,13.48,5.48,4.28,16.58,14.85
"PLEKHG5",5.99,9.08,3.47,3.42,19.29,11.73,5.74,16.63,15.89,6.49,5.39,21.92,4.87
"NOL9",6.07,15.07,7.05,6.83,18.35,12.18,8.17,18.23,19.88,11.48,12.78,16.3,10.37
"TAS1R1",0.1,0.56,0,0,0.24,0.19,0.22,0.15,0.76,0.18,0.26,0.14,0
"ZBTB48",3.31,7.68,4.49,2.96,3.53,5.69,3.85,5.56,6.58,5.63,6.02,6.51,4.49
"KLHL21",2.72,11.7,3.58,2.05,8.71,6.89,4.7,6.7,10.53,4.83,11.08,6.98,5.37
"PHF13",2.47,9.18,4.9,1.14,12.24,6.31,3.37,7.64,10.53,4.68,6.11,7.45,3.92
"THAP3",5.44,15.07,6.23,4.78,11.53,9.72,5.62,9.42,9.37,6.98,5.72,9.65,5.37
"DNAJC11",4.49,8.71,4.8,4.1,13.41,9.27,5.44,11.91,14.97,7.78,7.49,10.54,6.07
"CAMTA1-DT",0.11,1.4,0.2,0.68,1.41,0.85,0.55,0.71,3.63,0.58,0.56,0.47,0.7
"CAMTA1",33.87,66.29,36.26,29.84,59.06,53.55,40.48,53.45,64.58,47.72,60.22,56.35,35.9
"VAMP3",27.93,49.63,32.58,27.56,54.35,41.12,36.16,43.47,44.46,43.2,52.7,48.34,27.75
"PER3",5.69,17.6,3.06,10.48,11.53,13.05,9.14,11.55,33.85,12.95,13.31,11.24,8.22
"UTS2",0.47,1.03,0.51,0,1.18,0.35,0.35,0.86,0.49,0.49,0.59,0.7,3.03
"TNFRSF9",0.27,0.56,0.31,0,0.47,0.35,0.42,0.63,0.84,0.4,0.95,0.7,6.7
"PARK7",49.58,75.75,67.93,55.13,73.88,63.56,48.75,63.64,64.45,65.26,73.52,73.63,50.32
"ERRFI1",7.3,36.14,11.85,10.25,10.12,13.15,20.63,11.15,16.98,15.11,27,9.32,16.12
"SLC45A1",2.21,5.06,1.43,1.59,1.41,2.03,2.55,7.31,2.63,2.37,2.62,3.93,1.45
"RERE",19.34,51.03,22.47,22.32,46.12,36.34,32.07,58,75.95,40.25,44.85,46.89,29.2
"RERE-AS1",0.03,0,0,0,0,0,0.1,0.41,0.16,0.09,0.1,0.19,0.06
"ENO1",43.76,65.73,51.99,39.64,79.29,61.26,40.66,58.23,60.87,61.85,70.15,68.52,50.57
"ENO1-AS1",0.17,1.03,0.31,0.46,0.47,0.39,0.62,0.48,0.68,0.52,0.78,0.37,0.95
"CA6",0,0.19,0,0,0,0.02,0,0.03,0.03,0,0,0.09,0.19
"SLC2A7",0,0,0.31,0,0,0,0.02,0.13,0,0.03,0.07,0.05,0.06
"SLC2A5",0.23,0.75,0.1,0,0.24,0.19,0.12,0.28,0.35,0.28,0.23,0.33,0.51
"GPR157",0.79,2.53,1.53,0.68,4.47,1.05,1.05,1.32,3.14,1.63,2.58,1.87,0.95
"MIR34AHG",0.56,1.03,0.61,0.68,2.59,0.64,0.47,2.46,3.79,1.35,0.59,1.83,0.57
"LNCTAM34A",0.22,0.37,0.61,0.23,2.12,0.06,0.27,0.89,0.73,0.37,0.29,1.41,0.25
"H6PD",7.27,20.69,11.13,9.11,13.88,12.47,11.79,15.67,21.99,18.52,22.88,14.47,9.36
"SPSB1",5.99,16.48,16.14,6.15,20.71,6.23,10.11,17.95,32.09,12.22,20.43,23.23,8.22
"SLC25A33",5.3,25.19,5.62,2.96,13.18,12.16,11.94,10.01,24.21,10.49,23.86,11.05,12.2
"TMEM201",1.96,5.9,2.86,0.68,9.65,3.76,3.25,5.76,5.12,3.32,3.5,6.14,2.72
"PIK3CD",0.33,1.31,0.72,0.68,2.12,0.83,0.4,0.96,1.57,1.02,1.11,0.94,7.84
"PIK3CD-AS2",0.19,3.09,1.43,0,0.47,0.19,0.15,0.3,0.43,0.12,0.2,0.23,0.95
"CLSTN1",20.8,41.76,12.67,20.96,46.59,36.07,24.05,55,47.06,27.38,27.72,45.76,24.08
"CTNNBIP1",11.53,20.6,6.64,11.39,26.35,20.04,12.49,19.02,19.77,13.97,17.75,27.63,10.37
"LZIC",8.87,24.44,10.93,16.17,27.76,18.45,12.01,23.26,23.69,13.97,14.94,21.31,13.21
"NMNAT1",3.19,7.68,4.29,4.78,9.18,6.62,3.85,8.2,12.89,5.45,6.11,8.52,2.97
"RBP7",51.85,64.89,7.66,69.02,38.35,57.68,42.68,68.38,65.37,43.85,51.98,53.4,23.89
"UBE4B",5.48,20.97,6.13,5.47,19.76,16.01,8.39,24.83,31.79,11.91,10.43,18.31,11.57
"KIF1B",10.43,34.64,9.6,10.25,29.65,28.87,17.53,42.92,53.29,17.85,22.98,32.27,20.16
"PGD",5.83,14.23,6.33,5.69,24.71,10.47,5.89,9.93,12.7,10.09,11.93,17.7,9.04
"CENPS",1.11,1.87,1.74,1.59,20,1.65,1.52,3.66,3.57,2.15,1.8,3.89,2.02
"CORT",0.26,0.28,0.1,0,5.18,0.12,0.17,0.38,0.35,0.95,1.41,0.7,0.38
"DFFA",11.71,25.09,12.16,12.98,28.47,18.2,14.34,22.96,24.21,20.55,24.29,24.92,13.78
"PEX14",3.72,8.8,5.52,4.33,7.06,8.25,3.97,9.52,17.25,7.32,6.73,8.48,6.38
"CASZ1",2.49,8.9,1.23,2.05,2.59,8.27,9.57,3.43,7.45,5.2,8.37,3.28,10.87
"C1orf127",0.01,0,0,0,0,0,0,0,0,0,0,0,0.13
"TARDBP",14.29,32.87,17.98,15.72,44,25.65,17.66,33.32,30.98,21.63,24.03,32.41,18.65
"MASP2",0.69,1.59,0,2.05,0.47,0.89,0.32,0.08,0.24,0.12,0.23,0.8,0.95
"SRM",15.14,30.24,19.41,10.48,43.76,22.15,14.56,24.94,27.84,22.8,29.88,38.17,16.88
"EXOSC10",7.3,17.51,10.62,6.83,24.94,15.68,9.12,17.5,21.66,13.66,14.87,18.17,10.87
"EXOSC10-AS1",0.12,0,0.31,0,0.47,0.21,0.05,0.38,0.16,0.03,0.03,0.37,0.06
"MTOR",5.23,13.48,5.92,5.69,23.29,13.82,6.49,19.48,21.31,9.75,8.63,16.02,10.11
"MTOR-AS1",0,0,0,0,0,0.02,0,0.03,0.14,0,0,0,0
"ANGPTL7",0,0.19,0.1,0,0,0.06,0,0.03,0.19,0.09,0.03,0,0
"UBIAD1",3.67,12.08,7.56,2.96,10.59,7.4,4.42,5.82,8.69,6.98,8.63,7.63,6.26
"DISP3",0.05,0.19,0,0,0,0.12,0.07,0.13,0.65,0.22,0.07,0.19,0.06
"FBXO2",0.28,0.66,1.43,0.46,0.71,0.31,0.4,0.25,0.41,0.62,1.05,0.19,1.96
"FBXO44",1.42,3.84,6.03,0.68,0.71,2.17,1.8,1.14,2.25,3.85,4.81,1.17,2.65
"FBXO6",2.22,5.24,2.86,2.28,3.06,4.74,3.35,2.54,3.06,3.02,3.82,3,3.79
"MAD2L2",10.48,21.07,13.59,9.11,36.94,14.17,13.14,11.78,14.92,17.63,25.66,15.18,10.11
"DRAXIN",0.2,0.75,0.31,0,2.82,0.93,0.22,0.53,0.81,0.31,0.29,0.47,0.76
"AGTRAP",18.78,33.05,27.99,18.22,36.47,22.19,23.68,25.37,26.54,27.29,31.78,31.85,19.03
"C1orf167",0.72,2.25,1.43,1.59,0.47,1.61,1.82,1.6,1.71,0.74,0.95,1.55,0.95
"MTHFR",5.89,22.85,7.05,5.69,9.88,16.32,9.74,19.1,18.52,8.31,11.18,13.3,8.66
"CLCN6",2.31,9.18,4.6,3.87,8,5.67,3.37,8.81,11.75,5.14,5.85,6.84,4.74
"NPPA",0.02,0.37,1.02,0,0,0.12,0.02,0.15,0.22,0.12,0.13,0.05,0
"KIAA2013",10.16,21.54,8.38,10.25,34.12,19.26,12.79,24.3,20.77,14.55,15.07,26.37,12.83
"PLOD1",16.36,34.18,6.44,12.3,41.65,29.35,13.31,33.32,19.09,15.66,17.29,41.22,11.5
"MFN2",5.88,16.01,7.25,7.74,18.59,11.6,7.24,14.5,15.76,10.58,13.01,14.29,6.38
"MIIP",5.12,14.89,7.87,6.61,15.06,6.76,7.52,7.03,8.15,9.17,12.81,10.35,7.08
"TNFRSF8",0.49,1.12,0.1,0.46,0,3.85,0.97,0.28,0.62,1.29,2.16,0.28,0.63
"TNFRSF1B",16.25,32.77,2.96,20.5,23.76,45.96,17.91,36.57,38.34,34.62,37.72,26.7,35.9
"VPS13D",8.97,28.46,7.35,12.53,20.71,24.61,12.26,32.02,48.36,19.82,18.5,22.44,16.18
"DHRS3",21.42,40.36,15.42,13.9,18.35,42.38,25.15,47.11,22.8,13.88,18.9,27.4,18.96
"PDPN",0.13,1.4,57.1,0.23,1.65,0.27,0.15,0.38,0.43,0.25,0.2,0.47,0.57
"PRDM2",9.52,31.09,16.45,10.02,26.35,25.15,18.68,33.42,45.65,20.55,22.79,25.95,31.35
"KAZN",5.61,25.75,1.84,8.43,7.53,6.25,6.12,18.11,27.29,10.28,15.04,13.26,5.75
"KAZN-AS1",0,0.56,0,0,0,0,0,0,0.11,0,0,0,0
"TMEM51-AS1",0.06,0.66,0,0.23,0.24,0.04,0.05,0.43,0.51,0.18,0.26,0.28,0.06
"TMEM51",3.56,11.52,9.5,2.73,10.59,2.61,5.72,11.88,11.29,3.02,5.39,12.97,3.98
"C1orf195",0.01,0,0,0,0,0,0,0.13,0.51,0.03,0.07,0.23,0
"FHAD1",0.2,0.94,0.31,0.23,1.41,0.43,0.25,0.74,1.9,0.43,0.42,0.75,0.32
"EFHD2",16.16,30.43,13.18,15.26,43.29,23,15.33,30.83,41.43,28.4,37.14,36.96,34.58
"CELA2A",0.02,0.19,0,0,0.24,0.02,0.07,0.08,0.27,0.06,0.26,0,0.13
"CELA2B",0,0.19,0,0,0,0.02,0.07,0.05,0.35,0,0.07,0.05,0.06
"CASP9",1.97,5.81,1.84,1.59,5.41,3.41,2.62,4.27,4.28,2.71,3.43,7.03,3.48
"DNAJC16",3.77,13.76,5.21,5.47,11.06,10.51,5.52,12.85,15.3,8.71,8.07,10.63,5.82
"AGMAT",0.25,1.12,0.2,0,0,0.37,0.35,0.15,0.41,0.12,0.2,0.37,1.01
"DDI2",7.59,18.16,5.11,8.43,25.88,9.74,9.17,31.97,27.4,10.46,12.1,27.49,11.38
"PLEKHM2",7.91,24.53,9.7,9.11,25.88,19.28,10.86,26.05,37.34,16.46,18.67,24.73,14.22
"SLC25A34",0.38,1.03,0.31,0,1.18,0.7,0.5,1.17,1.16,0.86,0.98,0.61,0.51
"SLC25A34-AS1",0.3,0.94,0.1,0.23,2.35,4.63,0.25,1.55,0.54,0.15,0.13,0.94,0.38
"FBLIM1",5.4,30.06,14.1,12.76,13.88,35.28,4.35,15.95,14.19,7.66,7.03,18.55,6.13
"UQCRHL",3.11,9.27,1.43,3.42,3.53,2.98,3.67,0.84,0.62,4.25,9.02,3.51,1.45
"SPEN",12.86,38.76,17.26,17.54,38.82,36.09,20.5,42.84,54.78,28.4,31.15,33.58,27.69
"ZBTB17",4.3,13.01,5.01,3.64,9.65,9.76,5.97,10.69,14.6,9.38,11.47,11.19,6.45
"SRARP",0.4,0.28,0.1,0,0.24,0.39,0.17,0.25,0.16,0.43,0.2,0.42,0.19
"HSPB7",0.14,2.34,0,0,0.47,0.19,0.12,0.28,0.11,0.15,0.23,0.09,0.06
"CLCNKA",0.01,0.28,0,0,0,0.04,0.1,0.08,0,0,0,0,0
"EPHA2",6.48,19.1,19.51,7.97,24.94,8.11,8.57,17.32,20.25,11.97,16.61,19.44,6.51
"ARHGEF19",2.18,6.93,3.68,1.59,4.24,3.45,2.8,3.48,5.01,3.94,4.38,4.73,2.65
"CPLANE2",0.16,0.47,0.41,0,0.24,0.52,0.3,0.38,0.87,0.52,0.65,0.37,0.44
"FBXO42",3.75,12.83,4.19,6.38,10.35,10.57,5.09,13.59,19.14,7.78,7.55,10.35,9.61
"SZRD1",17.08,39.89,23.29,14.58,45.65,27.82,20.83,34.92,40.75,26.18,34.36,35.46,22.12
"SPATA21",0.12,0.66,0.1,0,0.24,0.99,0.27,0.48,3.38,0.37,0.69,0.47,0.44
"NECAP2",21.95,43.07,22.98,26.2,44.47,29.45,27.75,40.3,37.4,28.22,35.34,43.42,25.66
"NBPF1",4.34,9.08,4.6,3.64,10.82,7.57,5.74,10.34,12.89,8.8,7.32,8.99,5.31
"CROCC",3.73,11.99,4.39,7.52,9.18,8.46,5.29,12.29,18.74,6.06,7.32,8.99,8.91
"MFAP2",4.73,8.33,33.61,5.69,20.24,3.5,4.3,12.87,9.56,4.49,5.75,19.63,4.05
"ATP13A2",7.56,15.82,6.33,2.96,23.29,13.09,8.54,21.71,15.81,7.97,8.63,23.42,9.29
"SDHB",16.88,38.2,22.78,15.49,32,26.99,20.05,25.27,25.97,22.86,26.68,30.54,17.38
"PADI2",0.09,0.56,0.41,0.23,0.94,0.04,0.05,0.13,0.08,0.25,0.23,0.05,0.44
"PADI4",0.03,0.37,0,0.46,0.24,0.17,0.02,0.3,0.73,0.12,0.1,0.09,1.07
"RCC2",9.98,22.19,8.78,6.83,42.59,23.93,11.89,32.83,29.38,14.86,15.76,29.74,15.49
"ARHGEF10L",0.52,4.4,0.1,0.23,1.41,1.43,0.4,0.71,0.65,0.74,1.24,0.75,0.7
"IGSF21",0.07,0.19,0.1,0,0,0.23,0.17,0.15,0.14,0.06,0.07,0.14,0.38
"PAX7",0,0,0,0,0,0,0,0,0.16,0.06,0,0,0
"ALDH4A1",1.47,3.28,1.43,1.82,7.06,1.78,1.47,2.13,1.9,1.97,1.63,2.9,1.07
"IFFO2",3.36,12.36,1.63,1.82,13.41,10.55,5.07,16.58,17.03,4.25,5.75,13.96,9.73
"UBR4",10.59,27.15,10.21,12.07,24.94,21.84,14.34,26.1,39.34,18.03,20.66,21.59,21.81
"EMC1-AS1",0.36,0.75,0.61,0,2.59,0.77,0.57,2.44,2.33,0.89,0.85,1.64,1.58
"EMC1",5.57,13.67,6.44,4.78,24.24,10.42,6.82,12.62,13.62,9.05,9.91,13.77,6.89
"MRTO4",8.85,18.63,10.93,9.11,28.47,13.13,9.87,14.47,19.69,16.31,21.64,20.89,8.91
"AKR7A3",0.81,1.69,0.1,1.14,0.94,0.79,0.8,0.28,0.43,0.34,0.65,0.84,0.51
"AKR7A2",15.39,36.33,18.08,18,33.65,22.81,17.53,25.14,22.12,22.28,29,30.21,14.54
"SLC66A1",0.69,0.66,0.82,0.23,4.71,1.49,0.57,3.61,2.76,1.54,0.92,3.61,1.07
"CAPZB",40.3,70.22,54.85,43.74,67.76,59.11,43.58,58.38,67.26,60.65,69.24,63.98,50.32
"MICOS10",12.91,15.92,18.49,6.38,56.47,22.28,9.14,47.89,26.24,18.52,12.06,43.09,14.92
"NBL1",10.38,36.8,22.68,12.07,34.59,14.62,12.24,15.03,27.67,24.25,29.13,24.54,11
"TMCO4",2.06,5.9,3.06,1.82,7.06,5.67,3.1,4.47,10.29,6.46,6.37,4.82,3.86
"OTUD3",1.49,5.34,1.12,1.59,6.82,3.43,2.47,4.77,7.45,3.38,2.97,4.17,3.92
"PLA2G5",0.2,6.46,0.1,0.46,0.24,1.88,0.22,0.08,0.08,0.06,0.13,0.05,0.13
"PLA2G2D",0.03,0,0.1,0,0,0.04,0,0.03,0,0,0,0,0.06
"PLA2G2C",0,0,0,0,0,0,0,0.05,0,0,0,0.05,0.06
"UBXN10-AS1",0.07,0.75,0.2,0,0.24,0.08,0.12,0.13,0.22,0.18,0.56,0.28,0.44
"UBXN10",0.16,0.28,0.1,0,0.71,0.52,0.1,0.1,0.3,0.28,0.46,0.33,0.19
"CAMK2N1",1.5,35.02,5.82,0.68,1.65,1.96,1.7,1.96,1.33,1.48,1.86,2.39,4.74
"MUL1",5.76,12.17,7.87,3.87,13.41,9.99,6.22,9.83,9.72,8.43,9.84,11.57,5.18
"CDA",24.29,31.37,4.6,8.66,29.65,24.72,18.41,40.45,26,28.68,25.99,30.63,7.96
"PINK1",28.5,48.6,12.26,17.08,43.76,37.68,25.9,62.87,43.35,28.65,28.11,51.66,17.19
"PINK1-AS",0.54,1.22,0.72,0.68,0.71,1.18,0.57,1.68,2.22,0.77,0.72,1.17,0.76
"DDOST",22.17,41.2,32.58,21.87,42.12,35.18,24.8,33.95,34.74,37.78,43.87,40.89,26.36
"KIF17",6.27,11.7,8.07,6.38,9.65,8.91,9.32,9.6,10.86,7.14,8.17,10.26,4.61
"HP1BP3",35.01,68.35,41.88,34.17,76.24,55.86,46.03,68.41,74.36,53.6,55.05,63.09,48.36
"EIF4G3",17.82,45.69,16.85,23.01,42.82,39.63,21.33,62.95,73.44,31.57,31.45,46.18,25.66
"ECE1",34.81,62.36,32.18,33.49,67.29,65.87,39.16,63.26,74.74,62.06,62.9,65.53,33.38
"NBPF3",0.76,2.25,1.02,1.82,1.18,2.09,1.15,2.67,3.98,1.78,1.31,2.06,2.28
"ALPL",7.67,17.42,0.1,5.69,6.12,36.86,6.44,12.6,9.04,4.28,6.41,5.15,6.57
"RAP1GAP",0.07,0.56,0.41,0,0.24,0.41,0.2,0.46,0.32,0.06,0.2,0.23,0.06
"USP48",12.11,30.99,18.39,15.49,42.82,28.19,16.13,33.85,40.43,21.23,23.54,29.84,21.11
"LDLRAD2",1.9,2.9,0.61,1.37,4.47,3.43,1.2,7.72,7.93,2.18,2.19,6.46,1.71
"HSPG2",69.26,82.4,46.27,52.85,85.18,79.28,52.87,96.98,93.88,86.95,84.21,96.39,40.9
"CELA3B",0.01,0,0,0,0,0.02,0,0,0.05,0,0,0,0.06
