"Cancer","CellMajor","CellMin1","n","pct"
"KC","Plasma cells","PC_C8_IGHG",261,16.992
"KC","Plasma cells","PC_C9_IGHA",14,0.911
"KC","T and NK cells","CD4T_C1_CCR7_Tn",9333,10.896
"KC","T and NK cells","CD4T_C2_FOXP3_Treg",4513,5.269
"KC","T and NK cells","CD4T_C3_BACH2",13543,15.811
"KC","T and NK cells","CD4T_C4_CXCL13",1823,2.128
"KC","T and NK cells","CD4T_C5_TOX",1687,1.97
"KC","T and NK cells","CD4T_C6_ISG15",208,0.243
"KC","T and NK cells","CD8T_C1_HSPA1A",5755,6.719
"KC","T and NK cells","CD8T_C2_GZMK",10375,12.113
"KC","T and NK cells","CD8T_C3_PDCD1",9072,10.592
"KC","T and NK cells","CD8T_C4_XCL1",3681,4.298
"KC","T and NK cells","CD8T_C5_ISG15",1302,1.52
"KC","T and NK cells","CD8T_C6_TOX",6892,8.046
"KC","T and NK cells","CD8T_C7_MKI67",4379,5.112
"KC","T and NK cells","NK_C1_FCGR3A",2013,2.35
"KC","T and NK cells","NK_C2_XCL1",2575,3.006
"KC","T and NK cells","NK_C3_HSPA1A",1323,1.545
"KC","T and NK cells","NK_C4_CX3CR1",4679,5.463
"KC","T and NK cells","NK_C5_KLRC2",1872,2.186
"KC","T and NK cells","NK_C6_NFKB1A",490,0.572
"KC","T and NK cells","NK_C7_ISG15",138,0.161
"LC","B cells","B_C10_LOMO2",9,0.091
"LC","B cells","B_C11_MZB1_PC",73,0.739
"LC","B cells","B_C1_CRIP1",3465,35.089
"LC","B cells","B_C2_IGHM_Bn",2476,25.073
"LC","B cells","B_C3_HSPA1A",2305,23.342
"LC","B cells","B_C4_FCRL1",884,8.952
"LC","B cells","B_C5_IFIT3",312,3.159
"LC","B cells","B_C6_ZZF331",3,0.03
"LC","B cells","B_C7_MKI67",110,1.114
"LC","B cells","B_C8_BACH2",158,1.6
"LC","B cells","B_C9_IGLL5",80,0.81
"LC","Endothelial cells","EC_C10_COL1A2",98,2.889
"LC","Endothelial cells","EC_C11_RROX1",93,2.742
"LC","Endothelial cells","EC_C12_FCN3",17,0.501
"LC","Endothelial cells","EC_C13_MKI67",10,0.295
"LC","Endothelial cells","EC_C1_IGFBP7",417,12.294
"LC","Endothelial cells","EC_C2_GJA5",126,3.715
"LC","Endothelial cells","EC_C3_HSPA1A",1451,42.777
"LC","Endothelial cells","EC_C4_FLT1",47,1.386
"LC","Endothelial cells","EC_C5_ROBO2",84,2.476
"LC","Endothelial cells","EC_C6_ACKR1",173,5.1
"LC","Endothelial cells","EC_C7_IL6",241,7.105
"LC","Endothelial cells","EC_C8_IL32",68,2.005
"LC","Endothelial cells","EC_C9_CXCR4",567,16.716
"LC","Epithelial cells","Epithelial",5695,100
"LC","Mast cells","Mast",7319,100
"LC","Mesenchymal cells","F_C1_MMP11",408,18.63
"LC","Mesenchymal cells","F_C2_MIF",218,9.954
"LC","Mesenchymal cells","F_C3_CXCL12",356,16.256
"LC","Mesenchymal cells","F_C4_IGF1",547,24.977
"LC","Mesenchymal cells","F_C5_SPP1",216,9.863
"LC","Mesenchymal cells","F_C6_COL2A1",16,0.731
"LC","Mesenchymal cells","F_C7_MKI67",13,0.594
"LC","Mesenchymal cells","F_C8_PLA2G2A",75,3.425
"LC","Mesenchymal cells","Per_C1_RGS5",191,8.721
"LC","Mesenchymal cells","Per_C2_MYH11",150,6.849
"LC","Myeloid cells","M_C10_MKI67_Macro",538,2.492
"LC","Myeloid cells","M_C11_MT1G_Macro",556,2.575
"LC","Myeloid cells","M_C12_HSPA1A_Macro",276,1.278
"LC","Myeloid cells","M_C13_MMP9_Macro",56,0.259
"LC","Myeloid cells","M_C14_CD1C_cDC",2216,10.264
"LC","Myeloid cells","M_C15_LAMP3_cDC",460,2.131
"LC","Myeloid cells","M_C16_LILRA4_pDC",493,2.283
"LC","Myeloid cells","M_C17_S100A8_Neutro",2192,10.153
"LC","Myeloid cells","M_C18_ISG15_Neutro",105,0.486
"LC","Myeloid cells","M_C19_AZU1_Neutro",1106,5.123
"LC","Myeloid cells","M_C1_IL1B_Mono",3076,14.247
"LC","Myeloid cells","M_C20_CXCL8_Neutro",1,0.005
"LC","Myeloid cells","M_C2_S100A8_Mono",159,0.736
"LC","Myeloid cells","M_C3_FCGR3A_Mono",586,2.714
"LC","Myeloid cells","M_C4_VCAN_Mono",534,2.473
"LC","Myeloid cells","M_C5_CCL3_C1QA_Macro",3085,14.289
"LC","Myeloid cells","M_C6_SPP1_Macro",3909,18.106
"LC","Myeloid cells","M_C7_TREM2_Macro",1595,7.388
"LC","Myeloid cells","M_C8_BMP2K_Macro",445,2.061
"LC","Myeloid cells","M_C9_ISG15_Macro",202,0.936
"LC","Plasma cells","PC_C1_TXNDC5",749,51.442
"LC","Plasma cells","PC_C2_GMDS",125,8.585
"LC","Plasma cells","PC_C3_IGHGP",127,8.723
"LC","Plasma cells","PC_C4_CD79A",29,1.992
"LC","Plasma cells","PC_C5_HSPA1A",314,21.566
"LC","Plasma cells","PC_C6_SELK",2,0.137
"LC","Plasma cells","PC_C7_HLA-DRA",1,0.069
"LC","Plasma cells","PC_C8_IGHG",83,5.701
"LC","Plasma cells","PC_C9_IGHA",26,1.786
"LC","T and NK cells","CD4T_C1_CCR7_Tn",10446,21.591
"LC","T and NK cells","CD4T_C2_FOXP3_Treg",4511,9.324
"LC","T and NK cells","CD4T_C3_BACH2",3047,6.298
"LC","T and NK cells","CD4T_C4_CXCL13",2008,4.15
"LC","T and NK cells","CD4T_C5_TOX",630,1.302
"LC","T and NK cells","CD4T_C6_ISG15",132,0.273
"LC","T and NK cells","CD8T_C1_HSPA1A",5339,11.035
"LC","T and NK cells","CD8T_C2_GZMK",7158,14.795
"LC","T and NK cells","CD8T_C3_PDCD1",1714,3.543
"LC","T and NK cells","CD8T_C4_XCL1",3300,6.821
"LC","T and NK cells","CD8T_C5_ISG15",771,1.594
"LC","T and NK cells","CD8T_C6_TOX",941,1.945
"LC","T and NK cells","CD8T_C7_MKI67",1225,2.532
"LC","T and NK cells","NK_C1_FCGR3A",2380,4.919
"LC","T and NK cells","NK_C2_XCL1",1051,2.172
"LC","T and NK cells","NK_C3_HSPA1A",2256,4.663
"LC","T and NK cells","NK_C4_CX3CR1",716,1.48
"LC","T and NK cells","NK_C5_KLRC2",262,0.542
"LC","T and NK cells","NK_C6_NFKB1A",429,0.887
"LC","T and NK cells","NK_C7_ISG15",65,0.134
"NPC","B cells","B_C10_LOMO2",134,1.067
"NPC","B cells","B_C1_CRIP1",3687,29.362
"NPC","B cells","B_C2_IGHM_Bn",2225,17.719
"NPC","B cells","B_C3_HSPA1A",3750,29.864
"NPC","B cells","B_C5_IFIT3",2411,19.2
"NPC","B cells","B_C6_ZZF331",287,2.286
"NPC","B cells","B_C7_MKI67",39,0.311
"NPC","B cells","B_C9_IGLL5",24,0.191
"NPC","Endothelial cells","EC_C10_COL1A2",2,7.692
"NPC","Endothelial cells","EC_C1_IGFBP7",5,19.231
"NPC","Endothelial cells","EC_C4_FLT1",3,11.538
"NPC","Endothelial cells","EC_C5_ROBO2",2,7.692
"NPC","Endothelial cells","EC_C6_ACKR1",2,7.692
"NPC","Endothelial cells","EC_C7_IL6",3,11.538
"NPC","Endothelial cells","EC_C8_IL32",5,19.231
"NPC","Endothelial cells","EC_C9_CXCR4",4,15.385
"NPC","Epithelial cells","Epithelial",2505,100
"NPC","Mast cells","Mast",310,100
"NPC","Mesenchymal cells","F_C1_MMP11",304,47.278
"NPC","Mesenchymal cells","F_C2_MIF",148,23.017
"NPC","Mesenchymal cells","F_C4_IGF1",82,12.753
"NPC","Mesenchymal cells","F_C6_COL2A1",2,0.311
"NPC","Mesenchymal cells","F_C7_MKI67",10,1.555
"NPC","Mesenchymal cells","Per_C1_RGS5",69,10.731
"NPC","Mesenchymal cells","Per_C2_MYH11",28,4.355
"NPC","Myeloid cells","M_C10_MKI67_Macro",50,1.309
"NPC","Myeloid cells","M_C11_MT1G_Macro",50,1.309
"NPC","Myeloid cells","M_C12_HSPA1A_Macro",77,2.016
"NPC","Myeloid cells","M_C13_MMP9_Macro",8,0.209
"NPC","Myeloid cells","M_C14_CD1C_cDC",832,21.78
"NPC","Myeloid cells","M_C15_LAMP3_cDC",210,5.497
"NPC","Myeloid cells","M_C16_LILRA4_pDC",503,13.168
"NPC","Myeloid cells","M_C17_S100A8_Neutro",284,7.435
"NPC","Myeloid cells","M_C18_ISG15_Neutro",113,2.958
"NPC","Myeloid cells","M_C19_AZU1_Neutro",7,0.183
"NPC","Myeloid cells","M_C1_IL1B_Mono",354,9.267
"NPC","Myeloid cells","M_C2_S100A8_Mono",1,0.026
"NPC","Myeloid cells","M_C3_FCGR3A_Mono",28,0.733
"NPC","Myeloid cells","M_C4_VCAN_Mono",1,0.026
"NPC","Myeloid cells","M_C5_CCL3_C1QA_Macro",344,9.005
"NPC","Myeloid cells","M_C6_SPP1_Macro",439,11.492
"NPC","Myeloid cells","M_C7_TREM2_Macro",143,3.743
"NPC","Myeloid cells","M_C8_BMP2K_Macro",8,0.209
"NPC","Myeloid cells","M_C9_ISG15_Macro",368,9.634
"NPC","Plasma cells","PC_C1_TXNDC5",144,18.997
"NPC","Plasma cells","PC_C3_IGHGP",1,0.132
"NPC","Plasma cells","PC_C4_CD79A",204,26.913
"NPC","Plasma cells","PC_C5_HSPA1A",186,24.538
"NPC","Plasma cells","PC_C6_SELK",127,16.755
"NPC","Plasma cells","PC_C8_IGHG",87,11.478
"NPC","Plasma cells","PC_C9_IGHA",9,1.187
"NPC","T and NK cells","CD4T_C1_CCR7_Tn",5884,9.563
"NPC","T and NK cells","CD4T_C2_FOXP3_Treg",8599,13.975
"NPC","T and NK cells","CD4T_C3_BACH2",77,0.125
"NPC","T and NK cells","CD4T_C4_CXCL13",3381,5.495
"NPC","T and NK cells","CD4T_C5_TOX",92,0.15
"NPC","T and NK cells","CD4T_C6_ISG15",1865,3.031
"NPC","T and NK cells","CD8T_C1_HSPA1A",6690,10.873
"NPC","T and NK cells","CD8T_C2_GZMK",10981,17.846
"NPC","T and NK cells","CD8T_C3_PDCD1",4796,7.794
"NPC","T and NK cells","CD8T_C4_XCL1",4242,6.894
"NPC","T and NK cells","CD8T_C5_ISG15",7144,11.61
"NPC","T and NK cells","CD8T_C6_TOX",20,0.033
"NPC","T and NK cells","CD8T_C7_MKI67",4431,7.201
"NPC","T and NK cells","NK_C1_FCGR3A",608,0.988
"NPC","T and NK cells","NK_C2_XCL1",748,1.216
"NPC","T and NK cells","NK_C3_HSPA1A",582,0.946
"NPC","T and NK cells","NK_C4_CX3CR1",1,0.002
"NPC","T and NK cells","NK_C5_KLRC2",3,0.005
"NPC","T and NK cells","NK_C6_NFKB1A",303,0.492
"NPC","T and NK cells","NK_C7_ISG15",971,1.578
"NPC","T and NK cells","NK_C8_CREM",113,0.184
"PC","B cells","B_C1_CRIP1",342,40.714
"PC","B cells","B_C2_IGHM_Bn",165,19.643
"PC","B cells","B_C3_HSPA1A",294,35
"PC","B cells","B_C5_IFIT3",25,2.976
"PC","B cells","B_C6_ZZF331",8,0.952
"PC","B cells","B_C7_MKI67",3,0.357
"PC","B cells","B_C8_BACH2",1,0.119
"PC","B cells","B_C9_IGLL5",2,0.238
"PC","Endothelial cells","EC_C10_COL1A2",106,1.455
"PC","Endothelial cells","EC_C11_RROX1",109,1.497
"PC","Endothelial cells","EC_C12_FCN3",25,0.343
"PC","Endothelial cells","EC_C13_MKI67",135,1.854
"PC","Endothelial cells","EC_C1_IGFBP7",1984,27.242
"PC","Endothelial cells","EC_C2_GJA5",1089,14.953
"PC","Endothelial cells","EC_C3_HSPA1A",513,7.044
"PC","Endothelial cells","EC_C4_FLT1",917,12.591
"PC","Endothelial cells","EC_C5_ROBO2",533,7.318
"PC","Endothelial cells","EC_C6_ACKR1",769,10.559
"PC","Endothelial cells","EC_C7_IL6",456,6.261
"PC","Endothelial cells","EC_C8_IL32",552,7.579
"PC","Endothelial cells","EC_C9_CXCR4",95,1.304
"PC","Epithelial cells","Epithelial",16493,100
"PC","Mast cells","Mast",1275,100
"PC","Mesenchymal cells","F_C1_MMP11",2639,32.848
"PC","Mesenchymal cells","F_C2_MIF",1208,15.036
"PC","Mesenchymal cells","F_C3_CXCL12",2,0.025
"PC","Mesenchymal cells","F_C4_IGF1",796,9.908
"PC","Mesenchymal cells","F_C5_SPP1",28,0.349
"PC","Mesenchymal cells","F_C6_COL2A1",290,3.61
"PC","Mesenchymal cells","F_C7_MKI67",209,2.601
"PC","Mesenchymal cells","Per_C1_RGS5",2152,26.786
"PC","Mesenchymal cells","Per_C2_MYH11",710,8.837
"PC","Myeloid cells","M_C10_MKI67_Macro",190,2.048
"PC","Myeloid cells","M_C11_MT1G_Macro",274,2.954
"PC","Myeloid cells","M_C12_HSPA1A_Macro",268,2.889
"PC","Myeloid cells","M_C13_MMP9_Macro",103,1.11
"PC","Myeloid cells","M_C14_CD1C_cDC",577,6.22
"PC","Myeloid cells","M_C15_LAMP3_cDC",112,1.207
"PC","Myeloid cells","M_C16_LILRA4_pDC",15,0.162
"PC","Myeloid cells","M_C17_S100A8_Neutro",1760,18.972
"PC","Myeloid cells","M_C18_ISG15_Neutro",92,0.992
"PC","Myeloid cells","M_C19_AZU1_Neutro",8,0.086
"PC","Myeloid cells","M_C1_IL1B_Mono",536,5.778
"PC","Myeloid cells","M_C2_S100A8_Mono",41,0.442
"PC","Myeloid cells","M_C3_FCGR3A_Mono",75,0.808
"PC","Myeloid cells","M_C4_VCAN_Mono",1,0.011
"PC","Myeloid cells","M_C5_CCL3_C1QA_Macro",2522,27.186
"PC","Myeloid cells","M_C6_SPP1_Macro",1648,17.764
"PC","Myeloid cells","M_C7_TREM2_Macro",935,10.079
"PC","Myeloid cells","M_C8_BMP2K_Macro",6,0.065
"PC","Myeloid cells","M_C9_ISG15_Macro",114,1.229
"PC","Plasma cells","PC_C1_TXNDC5",52,54.737
"PC","Plasma cells","PC_C3_IGHGP",7,7.368
"PC","Plasma cells","PC_C4_CD79A",5,5.263
"PC","Plasma cells","PC_C5_HSPA1A",14,14.737
"PC","Plasma cells","PC_C6_SELK",6,6.316
"PC","Plasma cells","PC_C8_IGHG",10,10.526
"PC","Plasma cells","PC_C9_IGHA",1,1.053
"PC","T and NK cells","CD4T_C1_CCR7_Tn",3781,13.552
"PC","T and NK cells","CD4T_C2_FOXP3_Treg",1628,5.835
"PC","T and NK cells","CD4T_C3_BACH2",69,0.247
"PC","T and NK cells","CD4T_C4_CXCL13",423,1.516
"PC","T and NK cells","CD4T_C5_TOX",8,0.029
"PC","T and NK cells","CD4T_C6_ISG15",30,0.108
"PC","T and NK cells","CD8T_C1_HSPA1A",7862,28.18
"PC","T and NK cells","CD8T_C2_GZMK",6565,23.531
"PC","T and NK cells","CD8T_C3_PDCD1",811,2.907
"PC","T and NK cells","CD8T_C4_XCL1",2457,8.807
"PC","T and NK cells","CD8T_C5_ISG15",362,1.298
"PC","T and NK cells","CD8T_C6_TOX",15,0.054
"PC","T and NK cells","CD8T_C7_MKI67",1041,3.731
"PC","T and NK cells","NK_C1_FCGR3A",1102,3.95
"PC","T and NK cells","NK_C2_XCL1",755,2.706
"PC","T and NK cells","NK_C3_HSPA1A",756,2.71
"PC","T and NK cells","NK_C4_CX3CR1",2,0.007
"PC","T and NK cells","NK_C5_KLRC2",1,0.004
"PC","T and NK cells","NK_C6_NFKB1A",194,0.695
"PC","T and NK cells","NK_C7_ISG15",35,0.125
"PC","T and NK cells","NK_C8_CREM",2,0.007
"TC","B cells","B_C1_CRIP1",46,23.711
"TC","B cells","B_C2_IGHM_Bn",45,23.196
"TC","B cells","B_C3_HSPA1A",57,29.381
"TC","B cells","B_C4_FCRL1",44,22.68
"TC","B cells","B_C5_IFIT3",1,0.515
"TC","B cells","B_C7_MKI67",1,0.515
"TC","Endothelial cells","EC_C10_COL1A2",69,1.415
"TC","Endothelial cells","EC_C11_RROX1",305,6.256
"TC","Endothelial cells","EC_C12_FCN3",8,0.164
"TC","Endothelial cells","EC_C13_MKI67",44,0.903
"TC","Endothelial cells","EC_C1_IGFBP7",1279,26.236
"TC","Endothelial cells","EC_C2_GJA5",607,12.451
"TC","Endothelial cells","EC_C3_HSPA1A",285,5.846
"TC","Endothelial cells","EC_C4_FLT1",1492,30.605
"TC","Endothelial cells","EC_C5_ROBO2",269,5.518
"TC","Endothelial cells","EC_C6_ACKR1",91,1.867
"TC","Endothelial cells","EC_C7_IL6",46,0.944
"TC","Endothelial cells","EC_C8_IL32",346,7.097
"TC","Endothelial cells","EC_C9_CXCR4",34,0.697
"TC","Epithelial cells","Epithelial",23147,100
"TC","Mast cells","Mast",158,100
"TC","Mesenchymal cells","F_C1_MMP11",669,19.77
"TC","Mesenchymal cells","F_C2_MIF",638,18.853
"TC","Mesenchymal cells","F_C3_CXCL12",13,0.384
"TC","Mesenchymal cells","F_C4_IGF1",577,17.051
"TC","Mesenchymal cells","F_C5_SPP1",21,0.621
"TC","Mesenchymal cells","F_C6_COL2A1",83,2.453
"TC","Mesenchymal cells","F_C7_MKI67",34,1.005
"TC","Mesenchymal cells","Per_C1_RGS5",965,28.517
"TC","Mesenchymal cells","Per_C2_MYH11",384,11.348
"TC","Myeloid cells","M_C10_MKI67_Macro",75,1.247
"TC","Myeloid cells","M_C11_MT1G_Macro",69,1.147
"TC","Myeloid cells","M_C12_HSPA1A_Macro",163,2.71
"TC","Myeloid cells","M_C13_MMP9_Macro",12,0.2
"TC","Myeloid cells","M_C14_CD1C_cDC",318,5.287
"TC","Myeloid cells","M_C15_LAMP3_cDC",84,1.397
"TC","Myeloid cells","M_C16_LILRA4_pDC",13,0.216
"TC","Myeloid cells","M_C17_S100A8_Neutro",2489,41.38
"TC","Myeloid cells","M_C18_ISG15_Neutro",57,0.948
"TC","Myeloid cells","M_C19_AZU1_Neutro",23,0.382
"TC","Myeloid cells","M_C1_IL1B_Mono",507,8.429
"TC","Myeloid cells","M_C2_S100A8_Mono",63,1.047
"TC","Myeloid cells","M_C3_FCGR3A_Mono",272,4.522
"TC","Myeloid cells","M_C4_VCAN_Mono",4,0.067
"TC","Myeloid cells","M_C5_CCL3_C1QA_Macro",1082,17.988
"TC","Myeloid cells","M_C6_SPP1_Macro",316,5.254
"TC","Myeloid cells","M_C7_TREM2_Macro",354,5.885
"TC","Myeloid cells","M_C8_BMP2K_Macro",66,1.097
"TC","Myeloid cells","M_C9_ISG15_Macro",48,0.798
"TC","Plasma cells","PC_C1_TXNDC5",29,19.333
"TC","Plasma cells","PC_C2_GMDS",8,5.333
"TC","Plasma cells","PC_C3_IGHGP",76,50.667
"TC","Plasma cells","PC_C4_CD79A",1,0.667
"TC","Plasma cells","PC_C5_HSPA1A",8,5.333
"TC","Plasma cells","PC_C8_IGHG",21,14
"TC","Plasma cells","PC_C9_IGHA",7,4.667
"TC","T and NK cells","CD4T_C1_CCR7_Tn",756,6.965
"TC","T and NK cells","CD4T_C2_FOXP3_Treg",1017,9.37
"TC","T and NK cells","CD4T_C3_BACH2",976,8.992
"TC","T and NK cells","CD4T_C4_CXCL13",146,1.345
"TC","T and NK cells","CD4T_C5_TOX",507,4.671
"TC","T and NK cells","CD4T_C6_ISG15",42,0.387
"TC","T and NK cells","CD8T_C1_HSPA1A",915,8.43
"TC","T and NK cells","CD8T_C2_GZMK",1168,10.761
"TC","T and NK cells","CD8T_C3_PDCD1",1232,11.351
"TC","T and NK cells","CD8T_C4_XCL1",605,5.574
"TC","T and NK cells","CD8T_C5_ISG15",105,0.967
"TC","T and NK cells","CD8T_C6_TOX",829,7.638
"TC","T and NK cells","CD8T_C7_MKI67",515,4.745
"TC","T and NK cells","NK_C1_FCGR3A",796,7.334
"TC","T and NK cells","NK_C2_XCL1",269,2.478
"TC","T and NK cells","NK_C3_HSPA1A",482,4.441
"TC","T and NK cells","NK_C4_CX3CR1",283,2.607
"TC","T and NK cells","NK_C5_KLRC2",148,1.364
"TC","T and NK cells","NK_C6_NFKB1A",48,0.442
"TC","T and NK cells","NK_C7_ISG15",15,0.138
"na","B cells","B_C10_LOMO2",13,0.216
"na","B cells","B_C11_MZB1_PC",2827,47.062
"na","B cells","B_C1_CRIP1",18,0.3
"na","B cells","B_C2_IGHM_Bn",27,0.449
"na","B cells","B_C3_HSPA1A",19,0.316
"na","B cells","B_C4_FCRL1",1994,33.195
"na","B cells","B_C5_IFIT3",2,0.033
"na","B cells","B_C7_MKI67",474,7.891
"na","B cells","B_C8_BACH2",632,10.521
"na","B cells","B_C9_IGLL5",1,0.017
"na","Endothelial cells","EC_C10_COL1A2",109,2.191
"na","Endothelial cells","EC_C11_RROX1",21,0.422
"na","Endothelial cells","EC_C12_FCN3",216,4.342
"na","Endothelial cells","EC_C13_MKI67",14,0.281
"na","Endothelial cells","EC_C1_IGFBP7",732,14.714
"na","Endothelial cells","EC_C2_GJA5",758,15.236
"na","Endothelial cells","EC_C3_HSPA1A",162,3.256
"na","Endothelial cells","EC_C4_FLT1",283,5.688
"na","Endothelial cells","EC_C5_ROBO2",1913,38.452
"na","Endothelial cells","EC_C6_ACKR1",239,4.804
"na","Endothelial cells","EC_C7_IL6",276,5.548
"na","Endothelial cells","EC_C8_IL32",181,3.638
"na","Endothelial cells","EC_C9_CXCR4",71,1.427
"na","Epithelial cells","Epithelial",2116,100
"na","Mast cells","Mast",574,100
"na","Mesenchymal cells","F_C1_MMP11",526,2.461
"na","Mesenchymal cells","F_C2_MIF",392,1.834
"na","Mesenchymal cells","F_C3_CXCL12",9902,46.327
"na","Mesenchymal cells","F_C4_IGF1",970,4.538
"na","Mesenchymal cells","F_C5_SPP1",6139,28.722
"na","Mesenchymal cells","F_C6_COL2A1",448,2.096
"na","Mesenchymal cells","F_C7_MKI67",40,0.187
"na","Mesenchymal cells","Per_C1_RGS5",821,3.841
"na","Mesenchymal cells","Per_C2_MYH11",2136,9.993
"na","Myeloid cells","M_C10_MKI67_Macro",194,1.466
"na","Myeloid cells","M_C11_MT1G_Macro",1,0.008
"na","Myeloid cells","M_C12_HSPA1A_Macro",28,0.212
"na","Myeloid cells","M_C13_MMP9_Macro",10,0.076
"na","Myeloid cells","M_C14_CD1C_cDC",137,1.035
"na","Myeloid cells","M_C15_LAMP3_cDC",42,0.317
"na","Myeloid cells","M_C16_LILRA4_pDC",458,3.462
"na","Myeloid cells","M_C17_S100A8_Neutro",5359,40.503
"na","Myeloid cells","M_C18_ISG15_Neutro",50,0.378
"na","Myeloid cells","M_C19_AZU1_Neutro",541,4.089
"na","Myeloid cells","M_C1_IL1B_Mono",1317,9.954
"na","Myeloid cells","M_C20_CXCL8_Neutro",1,0.008
"na","Myeloid cells","M_C2_S100A8_Mono",4472,33.799
"na","Myeloid cells","M_C3_FCGR3A_Mono",114,0.862
"na","Myeloid cells","M_C4_VCAN_Mono",177,1.338
"na","Myeloid cells","M_C5_CCL3_C1QA_Macro",88,0.665
"na","Myeloid cells","M_C6_SPP1_Macro",32,0.242
"na","Myeloid cells","M_C7_TREM2_Macro",159,1.202
"na","Myeloid cells","M_C8_BMP2K_Macro",48,0.363
"na","Myeloid cells","M_C9_ISG15_Macro",3,0.023
"na","Plasma cells","PC_C1_TXNDC5",1135,9.231
"na","Plasma cells","PC_C2_GMDS",7080,57.58
"na","Plasma cells","PC_C3_IGHGP",3048,24.789
"na","Plasma cells","PC_C4_CD79A",24,0.195
"na","Plasma cells","PC_C5_HSPA1A",148,1.204
"na","Plasma cells","PC_C6_SELK",2,0.016
"na","Plasma cells","PC_C7_HLA-DRA",17,0.138
"na","Plasma cells","PC_C8_IGHG",833,6.775
"na","Plasma cells","PC_C9_IGHA",9,0.073
"na","T and NK cells","CD4T_C1_CCR7_Tn",379,3.579
"na","T and NK cells","CD4T_C2_FOXP3_Treg",79,0.746
"na","T and NK cells","CD4T_C3_BACH2",5109,48.239
"na","T and NK cells","CD4T_C4_CXCL13",36,0.34
"na","T and NK cells","CD4T_C5_TOX",202,1.907
"na","T and NK cells","CD4T_C6_ISG15",1,0.009
"na","T and NK cells","CD8T_C1_HSPA1A",287,2.71
"na","T and NK cells","CD8T_C2_GZMK",621,5.863
"na","T and NK cells","CD8T_C3_PDCD1",247,2.332
"na","T and NK cells","CD8T_C4_XCL1",331,3.125
"na","T and NK cells","CD8T_C5_ISG15",426,4.022
"na","T and NK cells","CD8T_C6_TOX",1197,11.302
"na","T and NK cells","CD8T_C7_MKI67",724,6.836
"na","T and NK cells","NK_C1_FCGR3A",5,0.047
"na","T and NK cells","NK_C2_XCL1",12,0.113
"na","T and NK cells","NK_C3_HSPA1A",28,0.264
"na","T and NK cells","NK_C4_CX3CR1",688,6.496
"na","T and NK cells","NK_C5_KLRC2",205,1.936
"na","T and NK cells","NK_C6_NFKB1A",14,0.132
