"Cancer","CellMajor","CellMin1","n","pct"
"CC","Endothelial cells","EC_C9_CXCR4",6,4.545
"CC","Epithelial cells","Epithelial",3380,100
"CC","Mast cells","Mast",104,100
"CC","Mesenchymal cells","F_C1_MMP11",1282,47.098
"CC","Mesenchymal cells","F_C2_MIF",531,19.508
"CC","Mesenchymal cells","F_C3_CXCL12",17,0.625
"CC","Mesenchymal cells","F_C4_IGF1",327,12.013
"CC","Mesenchymal cells","F_C5_SPP1",30,1.102
"CC","Mesenchymal cells","F_C6_COL2A1",312,11.462
"CC","Mesenchymal cells","F_C7_MKI67",19,0.698
"CC","Mesenchymal cells","Per_C1_RGS5",131,4.813
"CC","Mesenchymal cells","Per_C2_MYH11",73,2.682
"CC","Myeloid cells","M_C10_MKI67_Macro",54,0.786
"CC","Myeloid cells","M_C11_MT1G_Macro",49,0.714
"CC","Myeloid cells","M_C12_HSPA1A_Macro",114,1.66
"CC","Myeloid cells","M_C13_MMP9_Macro",24,0.35
"CC","Myeloid cells","M_C14_CD1C_cDC",217,3.161
"CC","Myeloid cells","M_C15_LAMP3_cDC",96,1.398
"CC","Myeloid cells","M_C16_LILRA4_pDC",37,0.539
"CC","Myeloid cells","M_C17_S100A8_Neutro",3377,49.184
"CC","Myeloid cells","M_C18_ISG15_Neutro",405,5.899
"CC","Myeloid cells","M_C19_AZU1_Neutro",16,0.233
"CC","Myeloid cells","M_C1_IL1B_Mono",679,9.889
"CC","Myeloid cells","M_C2_S100A8_Mono",36,0.524
"CC","Myeloid cells","M_C3_FCGR3A_Mono",78,1.136
"CC","Myeloid cells","M_C4_VCAN_Mono",15,0.218
"CC","Myeloid cells","M_C5_CCL3_C1QA_Macro",545,7.938
"CC","Myeloid cells","M_C6_SPP1_Macro",681,9.918
"CC","Myeloid cells","M_C7_TREM2_Macro",284,4.136
"CC","Myeloid cells","M_C8_BMP2K_Macro",20,0.291
"CC","Myeloid cells","M_C9_ISG15_Macro",139,2.024
"CC","Plasma cells","PC_C1_TXNDC5",797,88.066
"CC","Plasma cells","PC_C2_GMDS",2,0.221
"CC","Plasma cells","PC_C3_IGHGP",8,0.884
"CC","Plasma cells","PC_C4_CD79A",1,0.11
"CC","Plasma cells","PC_C5_HSPA1A",71,7.845
"CC","Plasma cells","PC_C8_IGHG",20,2.21
"CC","Plasma cells","PC_C9_IGHA",6,0.663
"CC","T and NK cells","CD4T_C1_CCR7_Tn",2801,17.4
"CC","T and NK cells","CD4T_C2_FOXP3_Treg",1205,7.485
"CC","T and NK cells","CD4T_C3_BACH2",765,4.752
"CC","T and NK cells","CD4T_C4_CXCL13",486,3.019
"CC","T and NK cells","CD4T_C5_TOX",154,0.957
"CC","T and NK cells","CD4T_C6_ISG15",60,0.373
"CC","T and NK cells","CD8T_C1_HSPA1A",1232,7.653
"CC","T and NK cells","CD8T_C2_GZMK",2560,15.903
"CC","T and NK cells","CD8T_C3_PDCD1",1935,12.02
"CC","T and NK cells","CD8T_C4_XCL1",1179,7.324
"CC","T and NK cells","CD8T_C5_ISG15",347,2.156
"CC","T and NK cells","CD8T_C6_TOX",737,4.578
"CC","T and NK cells","CD8T_C7_MKI67",986,6.125
"CC","T and NK cells","NK_C1_FCGR3A",414,2.572
"CC","T and NK cells","NK_C2_XCL1",549,3.41
"CC","T and NK cells","NK_C3_HSPA1A",171,1.062
"CC","T and NK cells","NK_C4_CX3CR1",70,0.435
"CC","T and NK cells","NK_C5_KLRC2",266,1.652
"CC","T and NK cells","NK_C6_NFKB1A",135,0.839
"CC","T and NK cells","NK_C7_ISG15",46,0.286
"EC","B cells","B_C10_LOMO2",91,4.321
"EC","B cells","B_C1_CRIP1",519,24.644
"EC","B cells","B_C2_IGHM_Bn",397,18.851
"EC","B cells","B_C3_HSPA1A",306,14.53
"EC","B cells","B_C4_FCRL1",29,1.377
"EC","B cells","B_C5_IFIT3",52,2.469
"EC","B cells","B_C7_MKI67",40,1.899
"EC","B cells","B_C8_BACH2",1,0.047
"EC","B cells","B_C9_IGLL5",671,31.861
"EC","Endothelial cells","EC_C10_COL1A2",53,2.739
"EC","Endothelial cells","EC_C11_RROX1",289,14.935
"EC","Endothelial cells","EC_C12_FCN3",10,0.517
"EC","Endothelial cells","EC_C13_MKI67",22,1.137
